FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
AMYLASE,1,1,No amylase measured during the ED evaluation or hospitalization,1,63,63,63,1E-12,,0,,0,N,N,N,,,,,
ATGRD,1,1,AAST Grade 1 or 2,1,49,49,49,0,,0,,0,N,N,N,,,,,
ATGRD,2,2,"AAST Grade 3, 4, or 5",1,49,49,49,0,,0,,0,N,N,N,,,,,
ATGRD,3,3,Only autopsy finding is fluid around the pancreas,1,49,49,49,0,,0,,0,N,N,N,,,,,
ATPCST,1,1,Duct transected,1,36,36,36,0,,0,,0,N,N,N,,,,,
ATPCST,2,2,Duct not transected,1,36,36,36,0,,0,,0,N,N,N,,,,,
ATPCST,3,3,Duct status indeterminate on autopsy,1,36,36,36,0,,0,,0,N,N,N,,,,,
ATPCST,97,97,No mention of duct status on autopsy,1,36,36,36,0,,0,,0,N,N,N,,,,,
BLADLAC,1,1,< 2 cm,1,7,7,7,0,,0,,0,N,N,N,,,,,
BLADLAC,2,2,> 2 cm,1,7,7,7,0,,0,,0,N,N,N,,,,,
BLADLAC,92,92,Unknown,1,7,7,7,0,,0,,0,N,N,N,,,,,
BLCOMP,1,1,Wound (surgical incision) dehiscence,1,140,140,140,0,,0,,0,N,N,N,,,,,
BLCOMP,2,2,Wound (surgical incision) infection (erythema around or pus from wound considered an infection by treating physicians and given antibiotics),1,140,140,140,0,,0,,0,N,N,N,,,,,
BLCOMP,3,3,Post-operative urinary extravasation,1,140,140,140,0,,0,,0,N,N,N,,,,,
BLCOMP,4,4,Post-operative hemorrhage from the bladder,1,140,140,140,0,,0,,0,N,N,N,,,,,
BLCOMP,5,5,Pelvic infection/abscess,1,140,140,140,0,,0,,0,N,N,N,,,,,
BLCOMP,6,6,Abdominal fascial dehiscence presents as persistent drainage from the incision site,1,140,140,140,0,,0,,0,N,N,N,,,,,
BLCOMP,7,7,Acute bilateral obstructive uropathy/ Urinary retention,1,140,140,140,0,,0,,0,N,N,N,,,,,
BLCOMP,90,90,Other immediate complications,1,140,140,140,0,,0,,0,N,N,N,,,,,
BLCOMP,91,91,No complications identified from urinary bladder injury,1,140,140,140,0,,0,,0,N,N,N,,,,,
BLINJGR,1,1,"Grade I: Hematoma: Contusion, intramural hematoma, orLaceration: partial thickness (not completely through the bladder wall)",1,131,131,131,0,,0,,0,N,N,N,,,,,
BLINJGR,2,2,Grade II: Extraperitoneal bladder wall laceration < 2 cm in length,1,131,131,131,0,,0,,0,N,N,N,,,,,
BLINJGR,3,3,"Grade III: Extraperitoneal bladder wall laceration > 2 cm in length,Intraperitoneal bladder wall laceration < 2 cm in length",1,131,131,131,0,,0,,0,N,N,N,,,,,
BLINJGR,4,4,Grade IV: Intraperitoneal bladder wall laceration > 2 cm in length,1,131,131,131,0,,0,,0,N,N,N,,,,,
BLINJGR,5,5,Grade V: Laceration (Intraperitoneal or Extraperitoneal laceration that extends into the bladder neck or ureteral orifice (trigone),1,131,131,131,0,,0,,0,N,N,N,,,,,
