,imp,feature
139,0.04416428352751915,SFxBasHem_92
77,0.040150084577638925,SFxBasPer_0
1,0.03620807570462664,SFxBasHem_1
213,0.034945712084188486,SFxBasRhi_0
27,0.03416775428335259,SFxBasRhi_92
98,0.03089279191522937,SFxBas_1.0
154,0.02949586338949487,SFxBasRet_92
15,0.02791813745881202,AgeInMonth
42,0.027390401996162432,SFxBas_0.0
45,0.02518615972202422,LOCSeparate_No
185,0.023374195957757308,SFxBasPer_92
39,0.02278067503234449,AMSOth_0
85,0.020802990722386543,AMSOth_92
131,0.02066446406792188,ClavFace_0
62,0.02034392696233943,SFxBasRet_0
16,0.019204651549894994,AMSRepeat_92
48,0.019039804321960948,AMSSleep_92
121,0.018826622380796375,AMSAgitated_1
84,0.018085371071939294,AMSAgitated_92
81,0.01803535953128419,AMS_0.0
32,0.016088596472977338,HemaLoc_Occipital
63,0.01587999197924151,AgeinYears
73,0.015213024030330485,HemaSize_Large
89,0.015156003524407251,ClavPar_1
190,0.014185748697139185,SFxPalpDepress_1.0
137,0.012871745564876363,SFxPalp_No
126,0.012437418010258033,AMS_1.0
184,0.011683872604997004,VomitStart_Not applicable
117,0.01095184565302296,Drugs_1.0
177,0.010914307007905008,SFxBasOto_92
71,0.010263916688314714,SeizLen_>15 min
129,0.010122449049241729,AMSRepeat_0
40,0.010090713499109082,AMSSlow_92
133,0.010021485775677226,LocLen_Not applicable
120,0.009345278532445857,SFxPalp_Yes
54,0.009176650596180587,NeuroDReflex_92
44,0.009086178065064978,VomitNbr_Not applicable
115,0.009001902560178793,AMSAgitated_0
136,0.008276431157790141,AMSSlow_0
18,0.008044100097157225,Hema_0.0
201,0.007263329196601212,ClavFro_0
103,0.006767175126250014,NeuroDOth_0
58,0.0067055526382290885,ClavOcc_1
33,0.0066461797663184006,Vomit_1.0
14,0.006589440777649053,HemaLoc_Parietal/Temporal
182,0.006529481243806113,Hema_1.0
35,0.006380102415356639,High_impact_InjSev_High
165,0.005732951671523034,LOCSeparate_Yes
