,imp,feature
1,0.041424307239082074,SFxBasHem_1
154,0.029495907982989674,SFxBasRet_92
15,0.02823809932060774,AgeInMonth
213,0.025968573189240774,SFxBasRhi_0
185,0.025918702869325162,SFxBasPer_92
98,0.02559576440210143,SFxBas_1.0
62,0.02348346669520056,SFxBasRet_0
27,0.02144233513207244,SFxBasRhi_92
133,0.021011587176775676,LocLen_Not applicable
77,0.02008858507620334,SFxBasPer_0
177,0.018869270770658513,SFxBasOto_92
183,0.01879097677332507,VomitNbr_>2 times
139,0.018097986158436906,SFxBasHem_92
39,0.017214728325716327,AMSOth_0
48,0.016965745169555693,AMSSleep_92
100,0.01600626147176034,LocLen_1-5 min
190,0.014522003757086835,SFxPalpDepress_1.0
42,0.013587254690117775,SFxBas_0.0
126,0.013519291754904784,AMS_1.0
172,0.01324563001553835,SFxPalp_Unclear
120,0.013195588245477842,SFxPalp_Yes
137,0.013091040082760203,SFxPalp_No
146,0.012990712763811408,NeuroD_0.0
129,0.012846456411998393,AMSRepeat_0
68,0.012813167833042604,SFxPalpDepress_92.0
63,0.012569575957205845,AgeinYears
85,0.012337884084443102,AMSOth_92
40,0.012212353710924485,AMSSlow_92
26,0.011300205448643194,SFxBasOto_0
114,0.011039239079557927,NeuroDSensory_0
165,0.010851597251812032,LOCSeparate_Yes
121,0.010763938689181306,AMSAgitated_1
131,0.010711084662712407,ClavFace_0
14,0.010625169627260893,HemaLoc_Parietal/Temporal
103,0.01035850205107346,NeuroDOth_0
33,0.01031492428351335,Vomit_1.0
81,0.009967693669406155,AMS_0.0
84,0.009959760955152892,AMSAgitated_92
215,0.00970242216379357,NeuroDCranial_92
16,0.0096390168388913,AMSRepeat_92
73,0.008069430924817576,HemaSize_Large
159,0.00791049510326862,SFxPalpDepress_0.0
93,0.007883432064034086,VomitStart_Within 1 hr of event
0,0.007546094611507288,NeuroDMotor_92
89,0.007475023018974831,ClavPar_1
7,0.007450336194736551,HASeverity_Severe
58,0.007434127505885862,ClavOcc_1
64,0.006894663623296341,VomitStart_1-4 hrs after event
71,0.006892830849258835,SeizLen_>15 min
138,0.006808598005309201,Vomit_0.0
10,0.006715093278513963,AMSSleep_0
75,0.006502425482503169,NeuroD_1.0
108,0.0064570177066048265,HA_verb_91.0
142,0.0063782963507050105,SFxBasHem_0
55,0.006059463330838253,Amnesia_verb_1.0
118,0.005862337512440444,High_impact_InjSev_Moderate
113,0.005736259782662512,OSIPelvis_1
193,0.0055891001237599845,InjuryMech_BikeMV
60,0.005364552296630548,ClavTem_1
204,0.005062160789555922,InjuryMech_PedesMV
162,0.00505114200780886,NeuroDMotor_0
128,0.005013639899233701,Amnesia_verb_91.0
45,0.0049976053148505116,LOCSeparate_No
88,0.004608778629954308,OSICspine_0
156,0.004571075702291099,ActNorm_0.0
178,0.004547176468434115,AMSSlow_1
182,0.004498653834910399,Hema_1.0
201,0.0044392710833220635,ClavFro_0
38,0.004433516308205314,VomitLast_1-4 hrs before ED
76,0.004398979351196152,ClavNeck_1
41,0.004303933220051121,NeuroDCranial_0
117,0.0042683458316359335,Drugs_1.0
54,0.004205414360515703,NeuroDReflex_92
35,0.004204787103548964,High_impact_InjSev_High
211,0.004123936331090889,InjuryMech_Other
28,0.004107173114491409,HA_verb_nan
200,0.004032440322693889,SeizLen_Not applicable
20,0.0038680143431518736,VomitLast_<1 hr before ED
53,0.0038429305197561505,VomitLast_nan
189,0.0038322241986871665,SeizLen_1-5 min
161,0.0037561132220585865,Clav_1.0
56,0.0036448350506464843,High_impact_InjSev_Low
144,0.0034369891358624173,HASeverity_Moderate
32,0.0034189798640540327,HemaLoc_Occipital
171,0.00336384991829356,ActNorm_1.0
2,0.0032113026236853127,LocLen_<5 sec
179,0.003148864999629542,ClavOcc_92
51,0.0031103478896061802,ClavTem_0
69,0.0030375945971190333,NeuroDReflex_0
18,0.0030069007222579347,Hema_0.0
164,0.0029879508991504755,AMSRepeat_1
49,0.0028724124210485467,Sedated_0.0
94,0.002867714974670589,InjuryMech_FallElev
106,0.002764944373146628,OSIOth_92
31,0.0026752213693955608,Seiz_1.0
43,0.00261062127208655,Drugs_0.0
187,0.0025695734269253288,ClavNeck_92
205,0.00253332669137463,SeizOccur_Within 30 minutes of injury
97,0.002496789471823603,SeizOccur_Not applicable
8,0.0024583815178839197,OSIOth_0
109,0.0023883452329838224,OSICut_1
149,0.0023651150987170724,NeuroDSensory_92
115,0.00228257448793364,AMSAgitated_0
157,0.0021633155789490943,ClavFro_92
92,0.002132183954185364,InjuryMech_Sports
136,0.0021130962927525753,AMSSlow_0
216,0.002094235746898151,InjuryMech_FallToGround
74,0.002021897099776279,LocLen_5 sec - 1 min
70,0.002008492945145314,HemaLoc_Not applicable
78,0.0019498493352859392,Sedated_1.0
104,0.001925672798312367,NeuroDCranial_1
95,0.001914408533204568,SeizLen_5-15 min
195,0.0019120840419114718,Amnesia_verb_0.0
170,0.0018020034489122261,HemaSize_Not applicable
186,0.0017683238212911124,AMSSleep_1
184,0.0017535024952880119,VomitStart_Not applicable
206,0.0017410440344908624,OSIOth_1
141,0.0017099956155596863,OSIFlank_1
59,0.0017098025959209151,Clav_0.0
3,0.001676262721803744,NeuroD_nan
130,0.0016028017785201633,SFxBasPer_1
202,0.0015897400849747914,OSICspine_1
67,0.0015809570481022832,ClavTem_92
44,0.0015802531830089621,VomitNbr_Not applicable
37,0.001347005769982791,HA_verb_0.0
192,0.0013141276678971573,HemaSize_Medium
135,0.001312345154144955,Seiz_0.0
150,0.0012928637309620355,OSICut_0
188,0.0012347488209814303,NeuroDReflex_1
6,0.001216500738572603,ClavFace_1
101,0.001046850421654626,InjuryMech_FallStair
107,0.0010289867311987228,NeuroDMotor_1
12,0.0010129663442470132,InjuryMech_MVC
160,0.0010097050614986899,HAStart_Not applicable
148,0.0009632303088826952,VomitStart_>4 hrs after event
119,0.0009394433903203803,SFxBasRet_1
169,0.0008012240531533307,VomitNbr_Once
214,0.0007943403714768933,InjuryMech_OtherWheelCrash
65,0.0007730830493590371,HA_verb_1.0
96,0.0007280965555278994,HemaSize_Small
194,0.0006677133312431576,OSIPelvis_0
127,0.0006324951591063514,OSI_1.0
152,0.0005655076434739748,OSIFlank_92
116,0.000563790717215467,LocLen_>5 min
134,0.00044795466731671016,ClavNeck_0
209,0.0003910484687950155,OSICspine_92
99,0.00036074023892162605,OSIAbdomen_0
180,0.00035432211355568565,HASeverity_Not applicable
46,0.0003025259154249817,ClavFace_92
29,0.00024774242941438563,ClavPar_0
