,imp,feature
1,0.046992307972627455,SFxBasHem_1
213,0.033998873759024426,SFxBasRhi_0
48,0.030530801995981894,AMSSleep_92
120,0.027514428991183917,SFxPalp_Yes
190,0.02665811728434856,SFxPalpDepress_1.0
27,0.0258849256548122,SFxBasRhi_92
15,0.025712375405364907,AgeInMonth
42,0.02557721754829487,SFxBas_0.0
26,0.025291639907542657,SFxBasOto_0
62,0.02423238741038053,SFxBasRet_0
139,0.02242314568526211,SFxBasHem_92
98,0.02235312061552757,SFxBas_1.0
129,0.019586887700519452,AMSRepeat_0
16,0.01916571008878693,AMSRepeat_92
39,0.018850840025581364,AMSOth_0
137,0.018827488715173857,SFxPalp_No
85,0.017984872755412433,AMSOth_92
73,0.017828744399023773,HemaSize_Large
77,0.017624843848358274,SFxBasPer_0
185,0.01733424133494759,SFxBasPer_92
58,0.01680611982914412,ClavOcc_1
154,0.016764366300436807,SFxBasRet_92
126,0.01661281684492151,AMS_1.0
68,0.015440364503151689,SFxPalpDepress_92.0
177,0.015187871245856296,SFxBasOto_92
40,0.013121929809027853,AMSSlow_92
71,0.011797864109125202,SeizLen_>15 min
14,0.011150972969287283,HemaLoc_Parietal/Temporal
63,0.010959638128888088,AgeinYears
84,0.01042721318580989,AMSAgitated_92
121,0.010407657889659567,AMSAgitated_1
178,0.010095151387329766,AMSSlow_1
89,0.007948206315651917,ClavPar_1
100,0.007859687248501439,LocLen_1-5 min
32,0.007830523743697412,HemaLoc_Occipital
162,0.0076821662897608774,NeuroDMotor_0
159,0.007592918901036689,SFxPalpDepress_0.0
35,0.007581631981604666,High_impact_InjSev_High
81,0.007228905105544051,AMS_0.0
172,0.006833853630604448,SFxPalp_Unclear
165,0.006618690680261858,LOCSeparate_Yes
138,0.006604748203661991,Vomit_0.0
133,0.006287943631601652,LocLen_Not applicable
33,0.006221879909555782,Vomit_1.0
49,0.005797367611487921,Sedated_0.0
113,0.0056978914682201485,OSIPelvis_1
20,0.005567309439744206,VomitLast_<1 hr before ED
51,0.0055592973387188415,ClavTem_0
3,0.005519600105907686,NeuroD_nan
10,0.005380780319225132,AMSSleep_0
59,0.00526171609846055,Clav_0.0
197,0.005177776226968728,ActNorm_nan
156,0.0051584237981706724,ActNorm_0.0
7,0.005155271059099648,HASeverity_Severe
41,0.0048925041000104676,NeuroDCranial_0
183,0.004454448661973007,VomitNbr_>2 times
188,0.004391572927269696,NeuroDReflex_1
103,0.004384006839145666,NeuroDOth_0
119,0.00433123176503158,SFxBasRet_1
60,0.004120703351077251,ClavTem_1
171,0.004099014088502887,ActNorm_1.0
136,0.004005832170212367,AMSSlow_0
182,0.003957440012945899,Hema_1.0
215,0.0039046609802256024,NeuroDCranial_92
80,0.0038641020711461214,LOCSeparate_Suspected
146,0.0037347084623900544,NeuroD_0.0
75,0.003699533059467472,NeuroD_1.0
135,0.0036686050933522813,Seiz_0.0
193,0.0036232423489416707,InjuryMech_BikeMV
97,0.003606450257533219,SeizOccur_Not applicable
205,0.003601357893414224,SeizOccur_Within 30 minutes of injury
115,0.0035605847631777396,AMSAgitated_0
92,0.0035461472422998333,InjuryMech_Sports
128,0.0034708769072885454,Amnesia_verb_91.0
211,0.0034174957151707334,InjuryMech_Other
117,0.003396134451970829,Drugs_1.0
130,0.003367676892883394,SFxBasPer_1
19,0.0033425156947184263,OSIAbdomen_1
78,0.003334237210532937,Sedated_1.0
69,0.003318204676659587,NeuroDReflex_0
204,0.0033069678884815007,InjuryMech_PedesMV
147,0.0032760722607745687,InjuryMech_ObjStruckHead
207,0.0032532901748956165,FontBulg_0.0
31,0.0032004212280641923,Seiz_1.0
131,0.0031704800020726427,ClavFace_0
93,0.003159423231628083,VomitStart_Within 1 hr of event
170,0.003157809567241011,HemaSize_Not applicable
142,0.003063034792112293,SFxBasHem_0
114,0.003046430154296361,NeuroDSensory_0
44,0.003008047949507551,VomitNbr_Not applicable
2,0.0030018165329536587,LocLen_<5 sec
76,0.002977650267825181,ClavNeck_1
169,0.002883950226839234,VomitNbr_Once
53,0.0028446363446007748,VomitLast_nan
161,0.0028379147925494427,Clav_1.0
45,0.0025775249605856296,LOCSeparate_No
67,0.0024732382373550835,ClavTem_92
54,0.002377633907352016,NeuroDReflex_92
144,0.002334908583869782,HASeverity_Moderate
210,0.0021713030618174837,InjuryMech_BikeCol
70,0.0021252611213503636,HemaLoc_Not applicable
160,0.0019463367158310744,HAStart_Not applicable
46,0.0019239932856348124,ClavFace_92
64,0.0018872377467452066,VomitStart_1-4 hrs after event
43,0.001836727619019046,Drugs_0.0
209,0.0018210468074926292,OSICspine_92
108,0.001794150367158164,HA_verb_91.0
202,0.0017941468622199466,OSICspine_1
79,0.0017909991218424508,OSIExtremity_1
143,0.0017771495505977221,HAStart_Within 1 hr of event
164,0.0017585154698590271,AMSRepeat_1
106,0.001633589498519886,OSIOth_92
50,0.0016275470698745144,OSI_0.0
23,0.0016256226211101635,OSIPelvis_92
175,0.0015887826494473446,ClavOcc_0
141,0.0015148644375865899,OSIFlank_1
186,0.00147685084061958,AMSSleep_1
37,0.0014584461355846392,HA_verb_0.0
195,0.0014446355284583015,Amnesia_verb_0.0
109,0.001405885011877447,OSICut_1
38,0.0013951848379663648,VomitLast_1-4 hrs before ED
