,imp,feature
1,0.04248280908005016,SFxBasHem_1
77,0.04211467242607245,SFxBasPer_0
213,0.03825646633860671,SFxBasRhi_0
139,0.03549775612160986,SFxBasHem_92
190,0.030285198776003303,SFxPalpDepress_1.0
85,0.02962297110639052,AMSOth_92
48,0.027795462068663034,AMSSleep_92
62,0.026748007656000307,SFxBasRet_0
27,0.024891312406568274,SFxBasRhi_92
40,0.02431955554461823,AMSSlow_92
154,0.023998186954863124,SFxBasRet_92
42,0.023755678267506474,SFxBas_0.0
39,0.022014433655969046,AMSOth_0
15,0.02120262621527986,AgeInMonth
98,0.020426987768443473,SFxBas_1.0
16,0.018884585306045275,AMSRepeat_92
177,0.01864705339928044,SFxBasOto_92
84,0.017222117381559977,AMSAgitated_92
14,0.016936466182674925,HemaLoc_Parietal/Temporal
117,0.01631837660939489,Drugs_1.0
81,0.016245733510756585,AMS_0.0
68,0.015439600052697497,SFxPalpDepress_92.0
137,0.015164401561391956,SFxPalp_No
63,0.013897474908544545,AgeinYears
131,0.013833788142259234,ClavFace_0
126,0.013466357766915073,AMS_1.0
45,0.01294683330049496,LOCSeparate_No
60,0.012599734542915709,ClavTem_1
32,0.012382411716961656,HemaLoc_Occipital
35,0.010428670650648801,High_impact_InjSev_High
183,0.010423953206329606,VomitNbr_>2 times
43,0.010007137359228247,Drugs_0.0
121,0.009993059944029903,AMSAgitated_1
185,0.009630793604099921,SFxBasPer_92
120,0.009414630739303285,SFxPalp_Yes
73,0.00848731623703441,HemaSize_Large
26,0.008469044552785077,SFxBasOto_0
165,0.008429956059664514,LOCSeparate_Yes
164,0.00726166189304563,AMSRepeat_1
5,0.007086360797392788,NeuroDOth_92
129,0.006647886675581876,AMSRepeat_0
10,0.0066473390145432585,AMSSleep_0
58,0.006589167598774982,ClavOcc_1
142,0.006469765444664569,SFxBasHem_0
184,0.006265903850680274,VomitStart_Not applicable
136,0.0062161291430312595,AMSSlow_0
115,0.00590319369565318,AMSAgitated_0
75,0.00585120294574677,NeuroD_1.0
207,0.005846695225386271,FontBulg_0.0
71,0.005811321005443907,SeizLen_>15 min
89,0.005459858054684408,ClavPar_1
110,0.005304259368151654,FontBulg_nan
182,0.005196091355403319,Hema_1.0
189,0.005187665788007877,SeizLen_1-5 min
215,0.005170048717439344,NeuroDCranial_92
172,0.005012522446841468,SFxPalp_Unclear
128,0.004946860556836265,Amnesia_verb_91.0
37,0.004527972449541612,HA_verb_0.0
157,0.00436460873951981,ClavFro_92
