,imp,feature
213,0.04506667415835616,SFxBasRhi_0
27,0.040677505358695895,SFxBasRhi_92
42,0.0399496270526591,SFxBas_0.0
15,0.039135805644672304,AgeInMonth
139,0.038903266449367695,SFxBasHem_92
1,0.026718482301496774,SFxBasHem_1
85,0.025908298034921437,AMSOth_92
48,0.025212392101909033,AMSSleep_92
98,0.02458411504012684,SFxBas_1.0
154,0.02249824618177325,SFxBasRet_92
84,0.020714850186354453,AMSAgitated_92
177,0.018929193677769428,SFxBasOto_92
121,0.018829494213283345,AMSAgitated_1
16,0.01820499451995676,AMSRepeat_92
137,0.017263454341994625,SFxPalp_No
117,0.01712421993032374,Drugs_1.0
26,0.01689613363382038,SFxBasOto_0
62,0.0161299192618883,SFxBasRet_0
45,0.015837573185542207,LOCSeparate_No
54,0.01530100281075689,NeuroDReflex_92
131,0.014565015097350961,ClavFace_0
185,0.01428611667858115,SFxBasPer_92
89,0.01425095215520939,ClavPar_1
68,0.012910195070239066,SFxPalpDepress_92.0
164,0.012398135826217276,AMSRepeat_1
40,0.011968172559370025,AMSSlow_92
39,0.011279613568962892,AMSOth_0
190,0.010907044042524891,SFxPalpDepress_1.0
165,0.010859411844140757,LOCSeparate_Yes
129,0.010112910308661682,AMSRepeat_0
77,0.00958535064615585,SFxBasPer_0
81,0.009560999447085314,AMS_0.0
63,0.009158513204670512,AgeinYears
115,0.00912157435444437,AMSAgitated_0
120,0.008594606607274364,SFxPalp_Yes
35,0.00844664511239346,High_impact_InjSev_High
172,0.008420764795295618,SFxPalp_Unclear
215,0.008250063420689391,NeuroDCranial_92
138,0.008185669881196407,Vomit_0.0
182,0.008001352850056629,Hema_1.0
80,0.007589861021240374,LOCSeparate_Suspected
186,0.0072306171063442936,AMSSleep_1
14,0.006901597682668532,HemaLoc_Parietal/Temporal
126,0.006620008807457083,AMS_1.0
12,0.006450129111013272,InjuryMech_MVC
25,0.006339235086644041,FontBulg_1.0
189,0.006244444299484353,SeizLen_1-5 min
32,0.005721231065152456,HemaLoc_Occipital
108,0.0056218782070795404,HA_verb_91.0
64,0.005419077526651637,VomitStart_1-4 hrs after event
43,0.005179033066594419,Drugs_0.0
133,0.0051623107245501645,LocLen_Not applicable
205,0.0051616462309475265,SeizOccur_Within 30 minutes of injury
183,0.005160042795458826,VomitNbr_>2 times
207,0.005150537800254139,FontBulg_0.0
187,0.00509165893529494,ClavNeck_92
130,0.004878967444142882,SFxBasPer_1
136,0.0048198977177041444,AMSSlow_0
195,0.004352610564463744,Amnesia_verb_0.0
134,0.004263061207462941,ClavNeck_0
142,0.004226011379980224,SFxBasHem_0
10,0.004160933366064577,AMSSleep_0
106,0.004107480378194571,OSIOth_92
157,0.004083460074551103,ClavFro_92
159,0.004048662757692386,SFxPalpDepress_0.0
88,0.003938345993806668,OSICspine_0
119,0.0038419617801990357,SFxBasRet_1
184,0.0038361259142088554,VomitStart_Not applicable
29,0.0037954123644878485,ClavPar_0
38,0.003688017589474999,VomitLast_1-4 hrs before ED
41,0.003649616874856858,NeuroDCranial_0
161,0.0035575214351272278,Clav_1.0
180,0.003511195316812751,HASeverity_Not applicable
67,0.0034773135709184003,ClavTem_92
55,0.00340496452946496,Amnesia_verb_1.0
60,0.003379070292181555,ClavTem_1
44,0.0033702064249628476,VomitNbr_Not applicable
97,0.003313141116220846,SeizOccur_Not applicable
162,0.003296417989763353,NeuroDMotor_0
18,0.003277064912203594,Hema_0.0
197,0.0032250437666022434,ActNorm_nan
7,0.0031189203754610467,HASeverity_Severe
34,0.003047195448894444,OSIFlank_0
178,0.002962924870074962,AMSSlow_1
158,0.002924411636804548,SeizOccur_>30 minutes after injury
83,0.002806487052869455,OSICut_92
79,0.0027978139368156772,OSIExtremity_1
201,0.002608742358352076,ClavFro_0
71,0.0025438774904831198,SeizLen_>15 min
58,0.0025204922690042824,ClavOcc_1
46,0.002428154077896227,ClavFace_92
170,0.002420459454999183,HemaSize_Not applicable
76,0.002365500022909497,ClavNeck_1
204,0.0021924886634982904,InjuryMech_PedesMV
75,0.002142885287581314,NeuroD_1.0
31,0.0021204282373547562,Seiz_1.0
123,0.0020809126127780625,HAStart_nan
152,0.002060118264303912,OSIFlank_92
0,0.002001588614770199,NeuroDMotor_92
93,0.0019915516728757784,VomitStart_Within 1 hr of event
82,0.001921506027801208,NeuroDSensory_1
73,0.0019054594769602779,HemaSize_Large
143,0.0018139579922484825,HAStart_Within 1 hr of event
56,0.0017686016957933193,High_impact_InjSev_Low
171,0.0017126950753316853,ActNorm_1.0
2,0.0016628532511164845,LocLen_<5 sec
8,0.001652655324467657,OSIOth_0
70,0.001611370809934512,HemaLoc_Not applicable
206,0.001559614468626222,OSIOth_1
109,0.0015180428342584469,OSICut_1
153,0.001498565095374969,AgeTwoPlus
193,0.0013762990948706989,InjuryMech_BikeMV
74,0.0013748706386593655,LocLen_5 sec - 1 min
33,0.00131026707202579,Vomit_1.0
100,0.001249698456607879,LocLen_1-5 min
169,0.0012139277873740805,VomitNbr_Once
202,0.0011785942465475136,OSICspine_1
107,0.0011757182124953467,NeuroDMotor_1
128,0.00112353349388362,Amnesia_verb_91.0
92,0.001081748872817329,InjuryMech_Sports
150,0.0010724870973074932,OSICut_0
146,0.0010700871476001638,NeuroD_0.0
96,0.0010626117670367863,HemaSize_Small
188,0.001027340282855916,NeuroDReflex_1
99,0.0009965828919869758,OSIAbdomen_0
118,0.0009953068245822621,High_impact_InjSev_Moderate
113,0.0009893668867656654,OSIPelvis_1
6,0.0009756075074243707,ClavFace_1
194,0.0009684983103613097,OSIPelvis_0
156,0.0009432504146512821,ActNorm_0.0
168,0.0009328797470110087,VomitNbr_Twice
175,0.0007221871712564244,ClavOcc_0
72,0.0007107410007193127,HemaLoc_Frontal
90,0.0006118252893411104,OSIExtremity_92
65,0.0005966010527760706,HA_verb_1.0
59,0.0005915435261101476,Clav_0.0
86,0.0005658021687094338,ClavPar_92
51,0.00043960739927272806,ClavTem_0
