,imp,feature
1,0.0399026489359466,SFxBasHem_1
213,0.038645712584878825,SFxBasRhi_0
48,0.02917783010639293,AMSSleep_92
98,0.02908023708348601,SFxBas_1.0
42,0.028793918443269215,SFxBas_0.0
62,0.028687148643704447,SFxBasRet_0
27,0.02670121520235812,SFxBasRhi_92
139,0.026453145104295375,SFxBasHem_92
185,0.022741373290689627,SFxBasPer_92
15,0.021849214572408567,AgeInMonth
58,0.020984558470521185,ClavOcc_1
177,0.020827621037419773,SFxBasOto_92
154,0.020372189083230578,SFxBasRet_92
85,0.01966998957212698,AMSOth_92
77,0.019330208733991654,SFxBasPer_0
26,0.018430395530255137,SFxBasOto_0
133,0.01623294759345715,LocLen_Not applicable
190,0.015071585367455429,SFxPalpDepress_1.0
39,0.014357272497393013,AMSOth_0
16,0.013475822954422075,AMSRepeat_92
84,0.013208789373712558,AMSAgitated_92
71,0.012501810966901308,SeizLen_>15 min
129,0.012254361221047838,AMSRepeat_0
73,0.012162818639391252,HemaSize_Large
10,0.011850898130013,AMSSleep_0
137,0.011359865349475973,SFxPalp_No
159,0.011100065355771967,SFxPalpDepress_0.0
103,0.010677235536792708,NeuroDOth_0
40,0.010256986434128878,AMSSlow_92
68,0.009990433590849827,SFxPalpDepress_92.0
14,0.009902588401762901,HemaLoc_Parietal/Temporal
60,0.00976682766714879,ClavTem_1
171,0.009689123546733706,ActNorm_1.0
41,0.009671468191156538,NeuroDCranial_0
32,0.009052368398106976,HemaLoc_Occipital
89,0.009050396049886448,ClavPar_1
121,0.008078942331550105,AMSAgitated_1
165,0.007666277084653417,LOCSeparate_Yes
201,0.007401738592910023,ClavFro_0
38,0.007358444272694159,VomitLast_1-4 hrs before ED
178,0.0072953165135725695,AMSSlow_1
35,0.007259016399326253,High_impact_InjSev_High
182,0.00710637857581996,Hema_1.0
120,0.007083138594266699,SFxPalp_Yes
51,0.006729111840280188,ClavTem_0
31,0.006570235678160679,Seiz_1.0
126,0.006549626059052976,AMS_1.0
162,0.006530276475519399,NeuroDMotor_0
100,0.0064743355500582744,LocLen_1-5 min
142,0.006421772820811864,SFxBasHem_0
172,0.0058691702063096325,SFxPalp_Unclear
53,0.0058382387410049,VomitLast_nan
20,0.005727576541455965,VomitLast_<1 hr before ED
75,0.005694019565149826,NeuroD_1.0
179,0.005290801654393984,ClavOcc_92
115,0.0050600392320063504,AMSAgitated_0
136,0.005054185322097263,AMSSlow_0
80,0.0049702379185296,LOCSeparate_Suspected
134,0.0048074292850122,ClavNeck_0
64,0.004717219971832064,VomitStart_1-4 hrs after event
54,0.004682805628901168,NeuroDReflex_92
76,0.004682112617763986,ClavNeck_1
2,0.004659600650427731,LocLen_<5 sec
96,0.0046348273334462535,HemaSize_Small
180,0.004460348997302771,HASeverity_Not applicable
97,0.004441494076664173,SeizOccur_Not applicable
138,0.004388083475055061,Vomit_0.0
81,0.004384281884652489,AMS_0.0
93,0.004307851692317088,VomitStart_Within 1 hr of event
3,0.004302537278132061,NeuroD_nan
45,0.004171624590906177,LOCSeparate_No
161,0.004169887898018395,Clav_1.0
70,0.004116253388272239,HemaLoc_Not applicable
130,0.004017226442272092,SFxBasPer_1
33,0.004007223106167231,Vomit_1.0
55,0.004001032711925202,Amnesia_verb_1.0
202,0.004000230286455858,OSICspine_1
90,0.003982354188068235,OSIExtremity_92
7,0.003980606833491922,HASeverity_Severe
108,0.0039200844102649625,HA_verb_91.0
99,0.003849956333331419,OSIAbdomen_0
122,0.003778463992428741,OSIExtremity_0
189,0.003488568785474723,SeizLen_1-5 min
18,0.0034577258000067384,Hema_0.0
187,0.0033717015554506104,ClavNeck_92
63,0.0032999295733993216,AgeinYears
209,0.003220189802492341,OSICspine_92
59,0.0029928855146615974,Clav_0.0
92,0.002981523168071568,InjuryMech_Sports
109,0.0029065009999101397,OSICut_1
157,0.002750565384408485,ClavFro_92
23,0.0026959586447116097,OSIPelvis_92
119,0.00266250189266672,SFxBasRet_1
105,0.0026552699424345415,OSIAbdomen_92
8,0.002449889940440661,OSIOth_0
196,0.0024446495756567472,SFxBas_nan
193,0.0024439358869238165,InjuryMech_BikeMV
49,0.0024215453008901906,Sedated_0.0
184,0.002326428946871043,VomitStart_Not applicable
107,0.0023227876975080385,NeuroDMotor_1
37,0.002297618698302826,HA_verb_0.0
188,0.0022685104386117576,NeuroDReflex_1
131,0.0022263667297661594,ClavFace_0
197,0.002205236290893278,ActNorm_nan
44,0.0021728205566156527,VomitNbr_Not applicable
114,0.0021715259328376384,NeuroDSensory_0
175,0.002090475447921598,ClavOcc_0
183,0.00205962084417538,VomitNbr_>2 times
164,0.0018950292567177286,AMSRepeat_1
135,0.001875332148252342,Seiz_0.0
144,0.0018641173402517142,HASeverity_Moderate
46,0.0018421581424584214,ClavFace_92
128,0.0018319861437573086,Amnesia_verb_91.0
204,0.0018318701098086509,InjuryMech_PedesMV
214,0.0017948381324629338,InjuryMech_OtherWheelCrash
117,0.0017926014460079875,Drugs_1.0
186,0.0016750185684426388,AMSSleep_1
153,0.0015391448605357216,AgeTwoPlus
158,0.0015259993011277045,SeizOccur_>30 minutes after injury
200,0.0014959412848947942,SeizLen_Not applicable
156,0.00142465087097533,ActNorm_0.0
82,0.001418612421972863,NeuroDSensory_1
118,0.001416165153642699,High_impact_InjSev_Moderate
170,0.0013033254253317563,HemaSize_Not applicable
143,0.001296573577564935,HAStart_Within 1 hr of event
206,0.0012725816643831453,OSIOth_1
67,0.001242360812323517,ClavTem_92
203,0.0012375661438503015,AMSOth_1
127,0.0012055858958976064,OSI_1.0
57,0.0011064092176469094,InjuryMech_Assault
160,0.0010864673360523377,HAStart_Not applicable
74,0.0009186105843192675,LocLen_5 sec - 1 min
211,0.0008049516504972744,InjuryMech_Other
123,0.0007814187133016279,HAStart_nan
6,0.0007259543541365597,ClavFace_1
83,0.0006299399265178798,OSICut_92
94,0.0006096033635237167,InjuryMech_FallElev
116,0.0005671576457266441,LocLen_>5 min
34,0.0005435278517066522,OSIFlank_0
86,0.0005413782208903724,ClavPar_92
195,0.000512133148461901,Amnesia_verb_0.0
215,0.0004019564016759648,NeuroDCranial_92
216,0.0003370006436727677,InjuryMech_FallToGround
5,0.0003138028991538681,NeuroDOth_92
