,imp,feature
1,0.041763557260149624,SFxBasHem_1
213,0.03807051709118563,SFxBasRhi_0
42,0.032146605284959,SFxBas_0.0
154,0.030722015710012072,SFxBasRet_92
98,0.03030528941125609,SFxBas_1.0
48,0.028565958125140536,AMSSleep_92
139,0.026347745225014884,SFxBasHem_92
190,0.02608741033401886,SFxPalpDepress_1.0
27,0.02540437520966499,SFxBasRhi_92
26,0.024684097593598818,SFxBasOto_0
62,0.022616217278758333,SFxBasRet_0
85,0.021766000779999784,AMSOth_92
68,0.020759904542997355,SFxPalpDepress_92.0
177,0.01898714244128883,SFxBasOto_92
120,0.016761154199614745,SFxPalp_Yes
185,0.01611219719658073,SFxBasPer_92
129,0.015533916031914431,AMSRepeat_0
15,0.015203525798915077,AgeInMonth
137,0.015162583890888348,SFxPalp_No
77,0.01463939556824833,SFxBasPer_0
89,0.01393254168930462,ClavPar_1
81,0.013346647021977761,AMS_0.0
39,0.013323732452497532,AMSOth_0
84,0.012663135303239918,AMSAgitated_92
35,0.011088023107285405,High_impact_InjSev_High
14,0.01095593588061085,HemaLoc_Parietal/Temporal
80,0.010884144328052006,LOCSeparate_Suspected
40,0.010880977484640687,AMSSlow_92
73,0.010662698980953206,HemaSize_Large
16,0.010119033800614,AMSRepeat_92
108,0.010104410437033617,HA_verb_91.0
178,0.009718627775550359,AMSSlow_1
126,0.008473186014919214,AMS_1.0
110,0.008435477791330245,FontBulg_nan
10,0.008224076525753047,AMSSleep_0
182,0.007931626196598884,Hema_1.0
78,0.007906130936022817,Sedated_1.0
100,0.007803164964174045,LocLen_1-5 min
70,0.007722870172874433,HemaLoc_Not applicable
183,0.0076445409635367565,VomitNbr_>2 times
146,0.007565567614995781,NeuroD_0.0
149,0.007358300430331038,NeuroDSensory_92
123,0.007108352455504757,HAStart_nan
133,0.0068890108879654174,LocLen_Not applicable
131,0.006653307989048182,ClavFace_0
28,0.006636810538543505,HA_verb_nan
115,0.0065913089598782565,AMSAgitated_0
215,0.006351571104946672,NeuroDCranial_92
161,0.006158029205438148,Clav_1.0
136,0.006142022436126614,AMSSlow_0
171,0.006106305547751912,ActNorm_1.0
121,0.0059907585939410046,AMSAgitated_1
64,0.0056217129361815586,VomitStart_1-4 hrs after event
69,0.005323040573281964,NeuroDReflex_0
18,0.00528278834236008,Hema_0.0
170,0.0050262898998436395,HemaSize_Not applicable
175,0.004909806893614958,ClavOcc_0
58,0.004806890291173938,ClavOcc_1
114,0.004544378217124172,NeuroDSensory_0
172,0.004542742494371925,SFxPalp_Unclear
105,0.004351184329498241,OSIAbdomen_92
186,0.004320044464964462,AMSSleep_1
156,0.004293572901947596,ActNorm_0.0
122,0.004207731892983206,OSIExtremity_0
200,0.004184514317515393,SeizLen_Not applicable
204,0.004082886805297298,InjuryMech_PedesMV
63,0.0039022139333707876,AgeinYears
41,0.003843117942601996,NeuroDCranial_0
3,0.003821692918562406,NeuroD_nan
29,0.0036828235868698192,ClavPar_0
60,0.0034834150376057676,ClavTem_1
32,0.0034762922776395725,HemaLoc_Occipital
138,0.0034555063013452696,Vomit_0.0
179,0.0033434409948771148,ClavOcc_92
117,0.003330963996424648,Drugs_1.0
180,0.003309124342100139,HASeverity_Not applicable
109,0.003269014046503907,OSICut_1
88,0.0032679180978996644,OSICspine_0
165,0.0031085380063367724,LOCSeparate_Yes
5,0.003084752295000869,NeuroDOth_92
152,0.003073111390510754,OSIFlank_92
142,0.003041685485860061,SFxBasHem_0
205,0.00296691374649739,SeizOccur_Within 30 minutes of injury
128,0.0029340508544594157,Amnesia_verb_91.0
59,0.0027774359664030136,Clav_0.0
49,0.0027445701232947355,Sedated_0.0
31,0.002743135838877506,Seiz_1.0
2,0.002619412190257847,LocLen_<5 sec
75,0.0026065581674257934,NeuroD_1.0
99,0.002598640876860681,OSIAbdomen_0
106,0.0025890205498344046,OSIOth_92
188,0.0025265993118210304,NeuroDReflex_1
93,0.002526490931648499,VomitStart_Within 1 hr of event
45,0.0023613765608683024,LOCSeparate_No
8,0.002316684498885234,OSIOth_0
192,0.0022929636809230856,HemaSize_Medium
104,0.002269849909000452,NeuroDCranial_1
67,0.002243813787946531,ClavTem_92
119,0.0022170907661693442,SFxBasRet_1
79,0.002213933940690081,OSIExtremity_1
94,0.0021917341602140763,InjuryMech_FallElev
74,0.0021874141082392677,LocLen_5 sec - 1 min
203,0.002183008642628438,AMSOth_1
134,0.0021490483150067006,ClavNeck_0
55,0.0021300731576429466,Amnesia_verb_1.0
33,0.0021185829373425676,Vomit_1.0
