,imp,feature
213,0.04205710432488642,SFxBasRhi_0
27,0.04057790954162344,SFxBasRhi_92
139,0.039959814341638214,SFxBasHem_92
85,0.03660904091673287,AMSOth_92
1,0.036102998818252026,SFxBasHem_1
177,0.031297141546804186,SFxBasOto_92
26,0.030269749254812153,SFxBasOto_0
39,0.0277772179650343,AMSOth_0
98,0.025431024881940382,SFxBas_1.0
40,0.02531192993890655,AMSSlow_92
77,0.025266749438444557,SFxBasPer_0
185,0.024667836340520454,SFxBasPer_92
154,0.02247697034355243,SFxBasRet_92
48,0.02168021593421702,AMSSleep_92
15,0.02086121757816006,AgeInMonth
42,0.020688771788345245,SFxBas_0.0
190,0.020214170549274005,SFxPalpDepress_1.0
62,0.019442460674228404,SFxBasRet_0
16,0.018707719683654637,AMSRepeat_92
120,0.018458484041404013,SFxPalp_Yes
137,0.01814560704853884,SFxPalp_No
117,0.01672711412164582,Drugs_1.0
81,0.016708448554369416,AMS_0.0
63,0.015939135181535138,AgeinYears
126,0.01530183419538874,AMS_1.0
14,0.014094850488881627,HemaLoc_Parietal/Temporal
35,0.013285029884706643,High_impact_InjSev_High
84,0.012996173210908435,AMSAgitated_92
45,0.011961276255137125,LOCSeparate_No
121,0.011337369040160536,AMSAgitated_1
129,0.010677401801730005,AMSRepeat_0
73,0.010309566699441566,HemaSize_Large
182,0.009202244753469795,Hema_1.0
131,0.008755616385246544,ClavFace_0
18,0.00844669116188254,Hema_0.0
89,0.008395569603298405,ClavPar_1
43,0.008380884859766354,Drugs_0.0
10,0.008327156402052354,AMSSleep_0
133,0.00701327569335903,LocLen_Not applicable
68,0.006643951344893484,SFxPalpDepress_92.0
70,0.006615192742220274,HemaLoc_Not applicable
159,0.005708820583635027,SFxPalpDepress_0.0
165,0.005657183722038566,LOCSeparate_Yes
58,0.005509395609991426,ClavOcc_1
172,0.005447723398188273,SFxPalp_Unclear
75,0.0050634537878866135,NeuroD_1.0
164,0.004716470687467253,AMSRepeat_1
76,0.004702882334160776,ClavNeck_1
183,0.004672078679677683,VomitNbr_>2 times
80,0.004645589918393992,LOCSeparate_Suspected
138,0.004473515263571724,Vomit_0.0
93,0.004343192331670218,VomitStart_Within 1 hr of event
136,0.004044886872053182,AMSSlow_0
12,0.004026146397139393,InjuryMech_MVC
188,0.003997893565446124,NeuroDReflex_1
215,0.003954825058454456,NeuroDCranial_92
115,0.003931933117386786,AMSAgitated_0
41,0.003730054980429648,NeuroDCranial_0
178,0.003697995532818834,AMSSlow_1
79,0.0035639431778489365,OSIExtremity_1
142,0.003509394815417677,SFxBasHem_0
141,0.00336932689936905,OSIFlank_1
211,0.0033584709409506808,InjuryMech_Other
179,0.003306361908097056,ClavOcc_92
33,0.003205080610532114,Vomit_1.0
106,0.0030471830280350332,OSIOth_92
195,0.002941030217672589,Amnesia_verb_0.0
186,0.002803764384252033,AMSSleep_1
44,0.0027484000687120493,VomitNbr_Not applicable
187,0.002744848408794058,ClavNeck_92
207,0.002737885052687818,FontBulg_0.0
161,0.002731490987065513,Clav_1.0
13,0.0026551635311397102,HASeverity_Mild
184,0.0025104833375610746,VomitStart_Not applicable
170,0.0024965764013284452,HemaSize_Not applicable
82,0.0024707698806560024,NeuroDSensory_1
51,0.0024641467684393677,ClavTem_0
200,0.002444313143786792,SeizLen_Not applicable
204,0.002416262417620167,InjuryMech_PedesMV
32,0.0023374163366138632,HemaLoc_Occipital
169,0.002335364632023189,VomitNbr_Once
144,0.002332402599897613,HASeverity_Moderate
118,0.0022531478832823366,High_impact_InjSev_Moderate
128,0.00224402890461257,Amnesia_verb_91.0
127,0.002240629857076999,OSI_1.0
59,0.002196881537890103,Clav_0.0
6,0.0019579777055158125,ClavFace_1
130,0.001956667941116596,SFxBasPer_1
7,0.0018932166275080064,HASeverity_Severe
83,0.0018428665774823782,OSICut_92
60,0.0018022638261190294,ClavTem_1
143,0.0017472653257243867,HAStart_Within 1 hr of event
156,0.0017312872592975292,ActNorm_0.0
50,0.0017140658761202957,OSI_0.0
171,0.0017046798608142684,ActNorm_1.0
57,0.0016910485205612045,InjuryMech_Assault
