,imp,feature
198,0.04080241683329094,SFxBasRet_92
205,0.04032785759384041,SFxBasRet_0
138,0.039143738211653185,SFxBasRhi_0
186,0.039062548175509575,SFxBasPer_0
179,0.03862602269873563,SFxBasHem_1
162,0.028794752059395815,SFxBasOto_0
42,0.028408526661943042,SFxBasRhi_92
215,0.026888796910788163,AMSAgitated_1
210,0.024931277095765703,SFxBasPer_92
112,0.02434317120161871,AMSSleep_92
146,0.02348004852612525,SFxBasHem_92
90,0.023129151522474994,SFxBas_1.0
126,0.01849299739612257,Drugs_0.0
153,0.017733075627525033,AMSOth_92
192,0.017326244753787825,AMSSlow_92
87,0.016798985674528186,SFxBasOto_92
68,0.01658291718929383,AMS_1.0
21,0.016107885422728806,AMSRepeat_92
137,0.01578748569808889,AMSAgitated_92
142,0.015494953455064067,SFxPalp_Yes
23,0.015148423307866652,SFxPalp_No
22,0.013823352750234892,AMSOth_0
37,0.013253894371457018,ClavPar_1
84,0.013213724865315418,AgeInMonth
88,0.012455087714682669,HemaLoc_Parietal/Temporal
94,0.012265644224560262,SeizLen_>15 min
69,0.011679530946322942,LOCSeparate_No
81,0.0114876410547167,AMSAgitated_0
125,0.011095753061275592,AMSSleep_0
101,0.011015137043018144,AMSRepeat_1
54,0.010715152139301923,AMSRepeat_0
79,0.010201234187153995,AMS_0.0
99,0.009803252150709532,LOCSeparate_Suspected
114,0.008697770693579254,SFxBas_0.0
123,0.008367194011788861,HemaLoc_Occipital
170,0.008287216845481685,LOCSeparate_Yes
203,0.008190855915849801,VomitNbr_Not applicable
35,0.0075313520034994115,AMSSlow_1
98,0.0075062265301152386,LocLen_Not applicable
20,0.0072371614040460715,ClavFace_0
159,0.007166858342794813,AMSSlow_0
141,0.006888054937207858,NeuroDReflex_92
154,0.0065636543168468365,SFxPalpDepress_92.0
59,0.006358236575059605,VomitStart_Within 1 hr of event
76,0.006110969672739462,Drugs_1.0
34,0.006081325599145873,AgeinYears
143,0.005803774943224716,ActNorm_1.0
207,0.005751095343443817,NeuroDCranial_0
214,0.005613389293611919,SFxPalpDepress_1.0
106,0.005400778044438278,Hema_1.0
161,0.005274260354387824,HemaSize_Large
92,0.0051793216841783,VomitNbr_>2 times
55,0.005067802337051137,NeuroDOth_92
212,0.004987067198558574,VomitLast_nan
213,0.004977417141706469,ClavFro_92
32,0.004903495174589151,Amnesia_verb_1.0
122,0.0042041886955605,Vomit_1.0
195,0.004173692227776474,Hema_0.0
176,0.004107806326955204,NeuroDSensory_1
164,0.004004976885486166,ClavTem_1
