,imp,feature
179,0.04164381471956534,SFxBasHem_1
138,0.03860355052842693,SFxBasRhi_0
186,0.03332249736266214,SFxBasPer_0
162,0.03271379381044653,SFxBasOto_0
205,0.028408758558316597,SFxBasRet_0
198,0.024724110640849683,SFxBasRet_92
142,0.023786405536074064,SFxPalp_Yes
112,0.023592067718498068,AMSSleep_92
90,0.022137907813310972,SFxBas_1.0
153,0.02122982551476823,AMSOth_92
210,0.02075178906745179,SFxBasPer_92
174,0.019589924617887854,SeizLen_1-5 min
87,0.01680673150378297,SFxBasOto_92
192,0.015048360243221637,AMSSlow_92
69,0.014750735364802063,LOCSeparate_No
98,0.014724271354236464,LocLen_Not applicable
137,0.014422247064729362,AMSAgitated_92
42,0.01393157147691497,SFxBasRhi_92
84,0.0127361023546907,AgeInMonth
35,0.012364238973284187,AMSSlow_1
170,0.011899953921605384,LOCSeparate_Yes
161,0.011718789271458115,HemaSize_Large
141,0.011645345304821251,NeuroDReflex_92
146,0.011115059600691542,SFxBasHem_92
22,0.010664144090660037,AMSOth_0
23,0.010473253593007268,SFxPalp_No
68,0.010231667924283594,AMS_1.0
21,0.010163372106744813,AMSRepeat_92
11,0.010050074936617675,ActNorm_nan
65,0.010035148764186359,NeuroDOth_0
103,0.00959123480790611,Vomit_0.0
114,0.009212985805060308,SFxBas_0.0
159,0.00904634198977628,AMSSlow_0
132,0.009035639720740373,VomitStart_Not applicable
45,0.00893904490340226,VomitLast_<1 hr before ED
157,0.008863014474615964,LocLen_1-5 min
203,0.008782524653988613,VomitNbr_Not applicable
94,0.008765598529596677,SeizLen_>15 min
37,0.008551705343228765,ClavPar_1
59,0.008340052131806991,VomitStart_Within 1 hr of event
64,0.008013709525281472,SFxPalp_Unclear
81,0.007745101554119786,AMSAgitated_0
110,0.007653675878038606,SFxBasHem_0
48,0.007598257829764505,SeizOccur_>30 minutes after injury
154,0.007580725524112882,SFxPalpDepress_92.0
125,0.00754522398773032,AMSSleep_0
79,0.007347365406656811,AMS_0.0
108,0.0072420456199516585,SFxPalpDepress_0.0
200,0.007149411081335486,HAStart_Within 1 hr of event
55,0.007051561598981083,NeuroDOth_92
92,0.007031016399159713,VomitNbr_>2 times
113,0.006826474238445191,HASeverity_Moderate
122,0.0066367979988662,Vomit_1.0
78,0.006464196545586884,Seiz_1.0
93,0.006442564794928396,SeizLen_Not applicable
29,0.006388176357912495,LocLen_<5 sec
207,0.006227017489581385,NeuroDCranial_0
99,0.006047369950776926,LOCSeparate_Suspected
20,0.005776531483501486,ClavFace_0
82,0.005769609967545115,OSICspine_1
160,0.00573670517532275,SeizOccur_Within 30 minutes of injury
164,0.0056285792371587,ClavTem_1
129,0.005440890100844238,OSIPelvis_1
46,0.005434938186509912,NeuroDMotor_0
101,0.005404416232621945,AMSRepeat_1
5,0.005390338281105238,High_impact_InjSev_High
33,0.005203057626482487,InjuryMech_BikeMV
61,0.005077832264236268,HA_verb_nan
143,0.005042086582202029,ActNorm_1.0
214,0.004954505156798286,SFxPalpDepress_1.0
215,0.004680268097092426,AMSAgitated_1
97,0.004667804074019285,ClavPar_92
206,0.00455920951616814,ClavOcc_1
2,0.0043960430315557585,VomitLast_1-4 hrs before ED
176,0.0043452664678571805,NeuroDSensory_1
88,0.004315956222149044,HemaLoc_Parietal/Temporal
105,0.004230592387179277,ClavNeck_92
209,0.004171955120040751,NeuroDReflex_1
201,0.004166558521216689,HAStart_Not applicable
187,0.004006856106385029,NeuroDReflex_0
16,0.003894370166503507,SeizLen_5-15 min
34,0.0038185974123596373,AgeinYears
75,0.0036215950759363553,ClavNeck_1
202,0.0035819483399150164,OSICut_1
147,0.003575908816736736,ClavOcc_92
31,0.0035498857072361373,NeuroDMotor_92
140,0.0034949407282836875,NeuroD_0.0
77,0.0034350751999739047,LocLen_5 sec - 1 min
40,0.00341526392731162,NeuroDOth_1
30,0.00324420609387729,HASeverity_Severe
9,0.003011434207337488,OSIFlank_1
12,0.0029392367731387254,Sedated_0.0
18,0.0028944754026699214,Sedated_1.0
76,0.0027328261058722704,Drugs_1.0
155,0.002625791854663571,InjuryMech_Sports
166,0.002611189861564769,ClavNeck_0
51,0.002598707004253857,OSICspine_0
