,imp,feature
138,0.055562940241940265,SFxBasRhi_0
205,0.03353341138733615,SFxBasRet_0
142,0.03117866469371914,SFxPalp_Yes
153,0.031093587489032022,AMSOth_92
162,0.030979467981349904,SFxBasOto_0
210,0.028344117159136848,SFxBasPer_92
179,0.0276965191587653,SFxBasHem_1
112,0.026904446481561258,AMSSleep_92
146,0.026618759127893982,SFxBasHem_92
154,0.023932495429155043,SFxPalpDepress_92.0
214,0.023636653246168014,SFxPalpDepress_1.0
42,0.021149770480697987,SFxBasRhi_92
87,0.019335369391186425,SFxBasOto_92
192,0.01842505708603222,AMSSlow_92
198,0.017865062324441208,SFxBasRet_92
186,0.01780920653110844,SFxBasPer_0
68,0.017515174948282215,AMS_1.0
88,0.017030829189587003,HemaLoc_Parietal/Temporal
21,0.016541340367865077,AMSRepeat_92
90,0.015435857946686045,SFxBas_1.0
174,0.014631755338561956,SeizLen_1-5 min
137,0.01411377872646362,AMSAgitated_92
84,0.013614559948481573,AgeInMonth
79,0.013192511020899899,AMS_0.0
98,0.012981061780746437,LocLen_Not applicable
37,0.009995217843348265,ClavPar_1
69,0.009985624069566544,LOCSeparate_No
207,0.009419274195024455,NeuroDCranial_0
54,0.009314138434872379,AMSRepeat_0
215,0.009295366655412647,AMSAgitated_1
92,0.008774902037358251,VomitNbr_>2 times
159,0.008298802475674154,AMSSlow_0
161,0.008289915936872831,HemaSize_Large
103,0.00823292246396127,Vomit_0.0
114,0.008205833690255968,SFxBas_0.0
23,0.008104660786438464,SFxPalp_No
99,0.008016581689856314,LOCSeparate_Suspected
29,0.007947613125045683,LocLen_<5 sec
2,0.007387200984093195,VomitLast_1-4 hrs before ED
13,0.0073590543441836775,Seiz_0.0
143,0.0073037462396329834,ActNorm_1.0
206,0.007271192888416576,ClavOcc_1
110,0.007143676674346892,SFxBasHem_0
25,0.0069506486172095,Amnesia_verb_0.0
170,0.0068155666217941235,LOCSeparate_Yes
61,0.006669828718285963,HA_verb_nan
63,0.0065681798386024335,HemaSize_Not applicable
195,0.006173748985836683,Hema_0.0
70,0.00605438590275286,NeuroD_1.0
203,0.005988645997712426,VomitNbr_Not applicable
22,0.00583846437595902,AMSOth_0
5,0.005417964289394621,High_impact_InjSev_High
93,0.005412633245447716,SeizLen_Not applicable
76,0.00519532481188931,Drugs_1.0
64,0.005103411606621847,SFxPalp_Unclear
164,0.004838314164888911,ClavTem_1
81,0.004776329272918654,AMSAgitated_0
9,0.004740271740486597,OSIFlank_1
74,0.0046639455792245885,HemaLoc_Not applicable
18,0.004588637289235148,Sedated_1.0
140,0.0043819766234998725,NeuroD_0.0
36,0.00429742454116234,ClavFro_0
59,0.004276889369457271,VomitStart_Within 1 hr of event
123,0.004217439128528856,HemaLoc_Occipital
125,0.004089033384065478,AMSSleep_0
141,0.004028514637214992,NeuroDReflex_92
34,0.003997974960879154,AgeinYears
80,0.003962707591912375,HA_verb_91.0
75,0.0038997382995086226,ClavNeck_1
30,0.003839212436104779,HASeverity_Severe
132,0.003769002052189521,VomitStart_Not applicable
104,0.0037445437646950073,VomitStart_1-4 hrs after event
24,0.0037046477172600575,OSIExtremity_92
49,0.003688340349861876,OSIFlank_92
157,0.0036324450901638306,LocLen_1-5 min
65,0.0036291939784647434,NeuroDOth_0
166,0.00359400557549694,ClavNeck_0
39,0.0033498714640030906,HASeverity_Not applicable
4,0.003307459121524294,Clav_0.0
31,0.0031992822666408577,NeuroDMotor_92
134,0.00312062876064487,SFxBasPer_1
180,0.0031069153155045388,NeuroDCranial_92
94,0.003087015462074493,SeizLen_>15 min
145,0.003024784948443126,OSIFlank_0
126,0.0029126622963855596,Drugs_0.0
35,0.0027919298243857488,AMSSlow_1
16,0.002732319839912803,SeizLen_5-15 min
188,0.002623830879631759,OSICut_92
212,0.0025555806721020897,VomitLast_nan
45,0.002520630500323652,VomitLast_<1 hr before ED
151,0.0023636524656643035,FontBulg_nan
160,0.002330102506469903,SeizOccur_Within 30 minutes of injury
73,0.002264731228639399,InjuryMech_PedesMV
71,0.0022590415180311096,InjuryMech_Assault
82,0.002211316651126851,OSICspine_1
172,0.002068709254287899,InjuryMech_FallToGround
67,0.0020457992731645037,OSIExtremity_0
117,0.002040190853142104,ClavTem_0
144,0.002032812098290916,ClavPar_0
189,0.0020279152504599765,NeuroDMotor_1
0,0.0020198438293781477,ActNorm_0.0
202,0.002016195244944985,OSICut_1
7,0.0020055822633529164,Clav_1.0
106,0.0017369881853285037,Hema_1.0
209,0.0016693636585700358,NeuroDReflex_1
168,0.0016279791870194705,OSIAbdomen_92
113,0.0015667663600017903,HASeverity_Moderate
213,0.001563580469624879,ClavFro_92
108,0.001548793894195114,SFxPalpDepress_0.0
167,0.0015165766511837132,InjuryMech_Other
158,0.0014908420882259717,AMSSleep_1
12,0.0014819988603976574,Sedated_0.0
201,0.0014703425049541132,HAStart_Not applicable
91,0.0014448046919555474,OSI_0.0
176,0.001439204231325949,NeuroDSensory_1
44,0.0014249309041023562,ClavFace_1
10,0.0014220960034905898,OSI_1.0
129,0.0014096646873121847,OSIPelvis_1
182,0.0013868468155180127,ClavFace_92
139,0.001380236245048548,AgeTwoPlus
107,0.0013655598357499945,OSICut_0
51,0.0013525277975132645,OSICspine_0
72,0.0013455906876075742,AMSOth_1
199,0.0013110196346907618,HA_verb_0.0
32,0.0012826511347205978,Amnesia_verb_1.0
11,0.0012331753285973195,ActNorm_nan
77,0.0012011593408936731,LocLen_5 sec - 1 min
46,0.0011943079873497065,NeuroDMotor_0
147,0.0011898473764064776,ClavOcc_92
100,0.0011398960919319463,ClavTem_92
40,0.0011378838952014214,NeuroDOth_1
17,0.0011291708594776738,HemaSize_Small
187,0.0010466731751861615,NeuroDReflex_0
3,0.0008528941103085429,High_impact_InjSev_Moderate
55,0.0007759394983375914,NeuroDOth_92
50,0.0007704101111224447,High_impact_InjSev_Low
128,0.0007591391732479905,ClavFro_1
155,0.0007567779002369288,InjuryMech_Sports
48,0.0006152267705461032,SeizOccur_>30 minutes after injury
216,0.0005996855170601857,OSIPelvis_92
6,0.0005914035823396562,SeizOccur_Not applicable
52,0.0005838649036386658,OSIExtremity_1
28,0.0005528691242563388,FontBulg_0.0
41,0.0005244266240301941,NeuroD_nan
101,0.0005101689334398793,AMSRepeat_1
105,0.0004635260106455113,ClavNeck_92
208,0.000440024939693855,OSIOth_92
177,0.00042485611973201015,OSIAbdomen_1
148,0.0004140713459492811,InjuryMech_MVC
19,0.00032032811045110636,OSIAbdomen_0
116,0.00014820362106291018,VomitNbr_Twice
27,0.00011536012407293824,InjuryMech_ObjStruckHead
165,6.761412492581598e-05,HA_verb_1.0
122,5.885264365541015e-05,Vomit_1.0
111,5.5848195678918664e-05,OSICspine_92
193,5.1713573272245075e-05,InjuryMech_RanIntoStatObj
204,0.0,NeuroDCranial_1
178,0.0,VomitLast_>4 hrs before ED
8,0.0,VomitStart_nan
211,0.0,InjuryMech_nan
181,0.0,SeizOccur_nan
14,0.0,OSI_nan
15,0.0,HemaLoc_Frontal
191,0.0,Drugs_nan
190,0.0,InjuryMech_OtherWheelCrash
20,0.0,ClavFace_0
184,0.0,Intubated_nan
200,0.0,HAStart_Within 1 hr of event
26,0.0,SFxBasRet_1
185,0.0,HemaSize_Medium
38,0.0,HASeverity_Mild
197,0.0,Paralyzed_nan
196,0.0,HemaLoc_nan
33,0.0,InjuryMech_BikeMV
194,0.0,SFxBas_nan
183,0.0,LocLen_>5 min
109,0.0,SFxPalpDepress_nan
175,0.0,SFxPalp_nan
43,0.0,VomitNbr_nan
89,0.0,SeizLen_nan
136,0.0,HAStart_nan
135,0.0,NeuroDSensory_92
133,0.0,SeizLen_<1 min
95,0.0,VomitNbr_Once
131,0.0,OSIPelvis_0
130,0.0,VomitStart_Before head injury
127,0.0,FontBulg_1.0
96,0.0,Intubated_0.0
97,0.0,ClavPar_92
124,0.0,InjuryMech_FallStair
121,0.0,Amnesia_verb_91.0
120,0.0,Paralyzed_1.0
119,0.0,Intubated_1.0
118,0.0,Vomit_nan
115,0.0,InjuryMech_BikeCol
102,0.0,SeizOccur_Immediately on contact
86,0.0,Clav_nan
85,0.0,NeuroDSensory_0
83,0.0,AMS_nan
156,0.0,Hema_nan
173,0.0,InjuryMech_FallElev
171,0.0,Amnesia_verb_nan
169,0.0,Seiz_nan
47,0.0,SFxBasOto_1
1,0.0,HAStart_1-4 hrs after event
53,0.0,Paralyzed_0.0
56,0.0,HAStart_Before head injury
57,0.0,HemaSize_nan
78,0.0,Seiz_1.0
58,0.0,OSIOth_0
152,0.0,OSIOth_1
60,0.0,VomitStart_>4 hrs after event
150,0.0,Sedated_nan
149,0.0,High_impact_InjSev_nan
62,0.0,HAStart_>4 hrs after event
66,0.0,ClavOcc_0
163,0.0,SFxBasRhi_1
