,imp,feature
138,0.045906477006642694,SFxBasRhi_0
179,0.036786328403569414,SFxBasHem_1
186,0.0353577891940236,SFxBasPer_0
214,0.031182007861371853,SFxPalpDepress_1.0
87,0.029856540447812503,SFxBasOto_92
153,0.029432518112898105,AMSOth_92
205,0.028025045331014322,SFxBasRet_0
112,0.0270033834539672,AMSSleep_92
68,0.026535123291733378,AMS_1.0
21,0.026335554672621102,AMSRepeat_92
23,0.026209557858790866,SFxPalp_No
198,0.025359455553869027,SFxBasRet_92
42,0.023993137251992827,SFxBasRhi_92
162,0.023143065930748226,SFxBasOto_0
142,0.02293174119829754,SFxPalp_Yes
192,0.022475145319893388,AMSSlow_92
137,0.021275805464265565,AMSAgitated_92
69,0.02076493328727403,LOCSeparate_No
210,0.020522409726590425,SFxBasPer_92
79,0.017577149564854313,AMS_0.0
88,0.017251605244975505,HemaLoc_Parietal/Temporal
114,0.017230426577718623,SFxBas_0.0
84,0.01559411642822286,AgeInMonth
90,0.014680129934856982,SFxBas_1.0
154,0.013813708196363985,SFxPalpDepress_92.0
146,0.012758864238273472,SFxBasHem_92
22,0.011684436135537431,AMSOth_0
20,0.011266200483024458,ClavFace_0
54,0.01054166732053326,AMSRepeat_0
125,0.010075732661935654,AMSSleep_0
159,0.009349476447713362,AMSSlow_0
215,0.00929996437800162,AMSAgitated_1
161,0.009094682966857304,HemaSize_Large
76,0.00859247478850103,Drugs_1.0
207,0.008561903172188022,NeuroDCranial_0
126,0.008191913726182502,Drugs_0.0
93,0.008166878930569513,SeizLen_Not applicable
203,0.0069416528629926465,VomitNbr_Not applicable
170,0.00661562238037285,LOCSeparate_Yes
92,0.006369050080340152,VomitNbr_>2 times
37,0.006288727646077719,ClavPar_1
81,0.006239283630628892,AMSAgitated_0
158,0.0058246237726310235,AMSSleep_1
110,0.005420281908898174,SFxBasHem_0
73,0.005261334630855509,InjuryMech_PedesMV
74,0.005235106575931109,HemaLoc_Not applicable
35,0.005218599671868128,AMSSlow_1
132,0.005149041448754983,VomitStart_Not applicable
103,0.005119528664992393,Vomit_0.0
7,0.004992366924052464,Clav_1.0
46,0.0048811470504179465,NeuroDMotor_0
123,0.0048312879545747795,HemaLoc_Occipital
94,0.004719865835136465,SeizLen_>15 min
36,0.0047174189652586795,ClavFro_0
59,0.0046950006636629505,VomitStart_Within 1 hr of event
206,0.004687522689333954,ClavOcc_1
34,0.004597053395042385,AgeinYears
5,0.004575478086147172,High_impact_InjSev_High
28,0.004481910870454125,FontBulg_0.0
26,0.00440281360890615,SFxBasRet_1
166,0.004252136811659865,ClavNeck_0
0,0.004121185196041502,ActNorm_0.0
63,0.0040522692407340315,HemaSize_Not applicable
117,0.0039235059193075735,ClavTem_0
4,0.0038514888048374594,Clav_0.0
180,0.0037950271176403964,NeuroDCranial_92
29,0.003578672064800781,LocLen_<5 sec
108,0.0035752998358855002,SFxPalpDepress_0.0
187,0.0034555795504891134,NeuroDReflex_0
32,0.0034060181394252767,Amnesia_verb_1.0
213,0.0034036972686774546,ClavFro_92
44,0.0030941699861767994,ClavFace_1
64,0.0029844391110320314,SFxPalp_Unclear
151,0.002975399863817381,FontBulg_nan
122,0.0029655559765378718,Vomit_1.0
2,0.0027025067080964364,VomitLast_1-4 hrs before ED
105,0.0026863293581268367,ClavNeck_92
113,0.002565007431884405,HASeverity_Moderate
31,0.002515151809509316,NeuroDMotor_92
164,0.0024802774053669266,ClavTem_1
182,0.002415300994201145,ClavFace_92
70,0.002343308549634541,NeuroD_1.0
199,0.002342012784652868,HA_verb_0.0
143,0.002257708458035468,ActNorm_1.0
55,0.00220862502157459,NeuroDOth_92
168,0.002177793719299652,OSIAbdomen_92
99,0.002171591505996162,LOCSeparate_Suspected
176,0.0021188395753695952,NeuroDSensory_1
148,0.0020790061772372062,InjuryMech_MVC
209,0.0020364656582422744,NeuroDReflex_1
80,0.0019385976644993505,HA_verb_91.0
160,0.0018865362490747234,SeizOccur_Within 30 minutes of injury
98,0.0018187176802100713,LocLen_Not applicable
65,0.0018129199197679132,NeuroDOth_0
77,0.001801359802409931,LocLen_5 sec - 1 min
3,0.0017756773875056827,High_impact_InjSev_Moderate
144,0.0017521449005290148,ClavPar_0
101,0.0016714568596724623,AMSRepeat_1
24,0.001670666553652865,OSIExtremity_92
100,0.001495850568452878,ClavTem_92
195,0.0014884872522197797,Hema_0.0
52,0.001474669176423642,OSIExtremity_1
200,0.0013993127245261266,HAStart_Within 1 hr of event
