,imp,feature
42,0.04135654266042099,SFxBasRhi_92
138,0.03906317627341007,SFxBasRhi_0
198,0.03632342875526237,SFxBasRet_92
205,0.036214595190873874,SFxBasRet_0
179,0.03158950857377474,SFxBasHem_1
162,0.025438214976491243,SFxBasOto_0
210,0.02480414078280474,SFxBasPer_92
192,0.024775692623969996,AMSSlow_92
186,0.024711564353969203,SFxBasPer_0
114,0.024361109500274026,SFxBas_0.0
112,0.02403930722040723,AMSSleep_92
68,0.023873611628300165,AMS_1.0
21,0.02314796662493849,AMSRepeat_92
146,0.02179594759099745,SFxBasHem_92
87,0.021285995043829237,SFxBasOto_92
23,0.02110064883782809,SFxPalp_No
84,0.02085216321447524,AgeInMonth
90,0.01871420071967492,SFxBas_1.0
69,0.01752253101570078,LOCSeparate_No
153,0.017287248483009072,AMSOth_92
137,0.014276772751706246,AMSAgitated_92
101,0.012954885550817785,AMSRepeat_1
214,0.012568079535802605,SFxPalpDepress_1.0
37,0.011368503032534363,ClavPar_1
34,0.010938187555309595,AgeinYears
215,0.010517811165754617,AMSAgitated_1
75,0.01019694306389949,ClavNeck_1
46,0.009576449845447785,NeuroDMotor_0
88,0.009498363561272403,HemaLoc_Parietal/Temporal
22,0.009495906406967984,AMSOth_0
64,0.009308609639947951,SFxPalp_Unclear
59,0.009290306295302206,VomitStart_Within 1 hr of event
142,0.009161170324892201,SFxPalp_Yes
174,0.00908065043076989,SeizLen_1-5 min
5,0.008833005475242493,High_impact_InjSev_High
99,0.008758267757918426,LOCSeparate_Suspected
170,0.008718486828810915,LOCSeparate_Yes
125,0.008502111963720136,AMSSleep_0
159,0.008335717456420427,AMSSlow_0
126,0.008306384561134745,Drugs_0.0
195,0.008282909935944119,Hema_0.0
20,0.007660983520623757,ClavFace_0
164,0.00713445820291895,ClavTem_1
79,0.006423216891600763,AMS_0.0
148,0.006402449016955866,InjuryMech_MVC
28,0.006283784885647316,FontBulg_0.0
203,0.006240736049307569,VomitNbr_Not applicable
19,0.005865327883232839,OSIAbdomen_0
154,0.0054996114828334206,SFxPalpDepress_92.0
157,0.0053565268364004276,LocLen_1-5 min
54,0.005317668030527936,AMSRepeat_0
7,0.005263466174008296,Clav_1.0
36,0.005249920226508254,ClavFro_0
92,0.005170268105871937,VomitNbr_>2 times
55,0.004940680831196862,NeuroDOth_92
161,0.004867870080394624,HemaSize_Large
140,0.004808952592706559,NeuroD_0.0
123,0.0046567702909943495,HemaLoc_Occipital
202,0.004498839154432709,OSICut_1
95,0.004488655702271868,VomitNbr_Once
63,0.004442458623628571,HemaSize_Not applicable
81,0.004367702809412028,AMSAgitated_0
85,0.004053764552544547,NeuroDSensory_0
141,0.00405279361616443,NeuroDReflex_92
73,0.0040496758887245765,InjuryMech_PedesMV
132,0.004041712541967204,VomitStart_Not applicable
94,0.003994176712329624,SeizLen_>15 min
3,0.003774937122013363,High_impact_InjSev_Moderate
122,0.003722553594308412,Vomit_1.0
51,0.0036712919959991743,OSICspine_0
206,0.003522104352156457,ClavOcc_1
136,0.0035106994815412933,HAStart_nan
76,0.0035011570183157586,Drugs_1.0
116,0.0034346260448820474,VomitNbr_Twice
29,0.0032838994391099765,LocLen_<5 sec
113,0.00327233428582816,HASeverity_Moderate
98,0.003127920475904807,LocLen_Not applicable
106,0.0030845623869366454,Hema_1.0
188,0.002927105868997018,OSICut_92
143,0.00271007960144558,ActNorm_1.0
91,0.0026402453995044736,OSI_0.0
35,0.002631945396816345,AMSSlow_1
16,0.0026107142082408136,SeizLen_5-15 min
160,0.002600087802859857,SeizOccur_Within 30 minutes of injury
74,0.002596739645112274,HemaLoc_Not applicable
97,0.002589633898821196,ClavPar_92
213,0.0024506811854558075,ClavFro_92
93,0.00241626477659898,SeizLen_Not applicable
108,0.002366771699753841,SFxPalpDepress_0.0
200,0.002338823437833311,HAStart_Within 1 hr of event
70,0.002262633530146953,NeuroD_1.0
0,0.0022533321449107664,ActNorm_0.0
131,0.002250857468620665,OSIPelvis_0
65,0.0022459762648246143,NeuroDOth_0
77,0.0022037021127952103,LocLen_5 sec - 1 min
4,0.0021440609500967527,Clav_0.0
31,0.0021083959538782493,NeuroDMotor_92
176,0.0020298979710097757,NeuroDSensory_1
190,0.0019473673517621075,InjuryMech_OtherWheelCrash
134,0.0019465592986363512,SFxBasPer_1
32,0.0018743359715962026,Amnesia_verb_1.0
199,0.001841297538538855,HA_verb_0.0
6,0.0018218821693338555,SeizOccur_Not applicable
26,0.0017097312520553884,SFxBasRet_1
103,0.0016712348237735472,Vomit_0.0
52,0.001665277831036411,OSIExtremity_1
107,0.0016482197133128556,OSICut_0
209,0.0016290967851716996,NeuroDReflex_1
216,0.0014975128376770127,OSIPelvis_92
117,0.001480404935336101,ClavTem_0
2,0.0014293824071736165,VomitLast_1-4 hrs before ED
172,0.0014099432910815559,InjuryMech_FallToGround
201,0.0013932316836826296,HAStart_Not applicable
104,0.0013348530478901445,VomitStart_1-4 hrs after event
207,0.0012563505566065623,NeuroDCranial_0
144,0.001254140481775968,ClavPar_0
177,0.001236102057270127,OSIAbdomen_1
80,0.0012331204017599741,HA_verb_91.0
127,0.0012028021240382556,FontBulg_1.0
166,0.0011739732727341528,ClavNeck_0
58,0.0011662409048730732,OSIOth_0
189,0.0011640490708665198,NeuroDMotor_1
158,0.0010609994177778318,AMSSleep_1
105,0.0009247521466587596,ClavNeck_92
110,0.0008981400231300363,SFxBasHem_0
45,0.0008798101709665063,VomitLast_<1 hr before ED
44,0.000860619167895635,ClavFace_1
24,0.0008453139347696617,OSIExtremity_92
82,0.0007393416726642621,OSICspine_1
208,0.0007224753390654703,OSIOth_92
27,0.0007117655197993799,InjuryMech_ObjStruckHead
182,0.0006888866242737352,ClavFace_92
145,0.0006789310672359086,OSIFlank_0
50,0.0006471060702744033,High_impact_InjSev_Low
11,0.0006416621996041908,ActNorm_nan
183,0.0006391290449326803,LocLen_>5 min
111,0.0006208697259494751,OSICspine_92
49,0.0006171141495358288,OSIFlank_92
66,0.0005638286494557282,ClavOcc_0
129,0.000529258071006138,OSIPelvis_1
10,0.0004791088800951665,OSI_1.0
128,0.00047511070931545305,ClavFro_1
48,0.0004621585014477044,SeizOccur_>30 minutes after injury
100,0.0002703419813871347,ClavTem_92
25,0.00025824486076811773,Amnesia_verb_0.0
47,0.0002258520945925149,SFxBasOto_1
38,0.00021869214361213711,HASeverity_Mild
187,0.00018614223657908787,NeuroDReflex_0
78,0.00017995744489621214,Seiz_1.0
167,0.00010718787425765005,InjuryMech_Other
163,0.00010394237938568102,SFxBasRhi_1
180,5.433114696842513e-05,NeuroDCranial_92
39,4.4398485490946406e-05,HASeverity_Not applicable
152,3.379503027317228e-05,OSIOth_1
181,0.0,SeizOccur_nan
178,0.0,VomitLast_>4 hrs before ED
8,0.0,VomitStart_nan
184,0.0,Intubated_nan
185,0.0,HemaSize_Medium
211,0.0,InjuryMech_nan
9,0.0,OSIFlank_1
204,0.0,NeuroDCranial_1
12,0.0,Sedated_0.0
13,0.0,Seiz_0.0
14,0.0,OSI_nan
197,0.0,Paralyzed_nan
196,0.0,HemaLoc_nan
175,0.0,SFxPalp_nan
212,0.0,VomitLast_nan
194,0.0,SFxBas_nan
193,0.0,InjuryMech_RanIntoStatObj
17,0.0,HemaSize_Small
191,0.0,Drugs_nan
18,0.0,Sedated_1.0
15,0.0,HemaLoc_Frontal
89,0.0,SeizLen_nan
173,0.0,InjuryMech_FallElev
130,0.0,VomitStart_Before head injury
124,0.0,InjuryMech_FallStair
60,0.0,VomitStart_>4 hrs after event
61,0.0,HA_verb_nan
121,0.0,Amnesia_verb_91.0
120,0.0,Paralyzed_1.0
119,0.0,Intubated_1.0
118,0.0,Vomit_nan
62,0.0,HAStart_>4 hrs after event
115,0.0,InjuryMech_BikeCol
67,0.0,OSIExtremity_0
109,0.0,SFxPalpDepress_nan
1,0.0,HAStart_1-4 hrs after event
71,0.0,InjuryMech_Assault
102,0.0,SeizOccur_Immediately on contact
72,0.0,AMSOth_1
96,0.0,Intubated_0.0
83,0.0,AMS_nan
57,0.0,HemaSize_nan
56,0.0,HAStart_Before head injury
171,0.0,Amnesia_verb_nan
133,0.0,SeizLen_<1 min
169,0.0,Seiz_nan
168,0.0,OSIAbdomen_92
165,0.0,HA_verb_1.0
30,0.0,HASeverity_Severe
33,0.0,InjuryMech_BikeMV
156,0.0,Hema_nan
155,0.0,InjuryMech_Sports
86,0.0,Clav_nan
41,0.0,NeuroD_nan
151,0.0,FontBulg_nan
150,0.0,Sedated_nan
149,0.0,High_impact_InjSev_nan
43,0.0,VomitNbr_nan
147,0.0,ClavOcc_92
139,0.0,AgeTwoPlus
53,0.0,Paralyzed_0.0
135,0.0,NeuroDSensory_92
40,0.0,NeuroDOth_1
