,imp,feature
138,0.04767548153985399,SFxBasRhi_0
179,0.03481897194506903,SFxBasHem_1
186,0.032040878762808055,SFxBasPer_0
23,0.02925791151004935,SFxPalp_No
42,0.028900564081814527,SFxBasRhi_92
205,0.028485007882008695,SFxBasRet_0
210,0.02820521403474049,SFxBasPer_92
162,0.02817134327048163,SFxBasOto_0
198,0.026847738755515254,SFxBasRet_92
87,0.024827027340120225,SFxBasOto_92
153,0.02395402689109809,AMSOth_92
84,0.023542897378584452,AgeInMonth
21,0.020063814310706453,AMSRepeat_92
69,0.019246975200745493,LOCSeparate_No
146,0.019090942721752276,SFxBasHem_92
161,0.018600706135899446,HemaSize_Large
192,0.018504428972002208,AMSSlow_92
79,0.01664954910636685,AMS_0.0
90,0.015458191877171712,SFxBas_1.0
137,0.015015824519102595,AMSAgitated_92
112,0.014755853891266338,AMSSleep_92
114,0.013309704153883833,SFxBas_0.0
68,0.013026579779077192,AMS_1.0
92,0.012451079392039884,VomitNbr_>2 times
206,0.011284644135814268,ClavOcc_1
98,0.010829717459261739,LocLen_Not applicable
195,0.010815443211467036,Hema_0.0
37,0.009951240087716277,ClavPar_1
94,0.009098759562545229,SeizLen_>15 min
143,0.008827820515894437,ActNorm_1.0
64,0.008688553090908036,SFxPalp_Unclear
141,0.00854638965651854,NeuroDReflex_92
29,0.008543627028112885,LocLen_<5 sec
164,0.008373308346300986,ClavTem_1
54,0.008220926084173194,AMSRepeat_0
176,0.008018424291480735,NeuroDSensory_1
46,0.007907157058622365,NeuroDMotor_0
194,0.007745153936291239,SFxBas_nan
142,0.007605639143621807,SFxPalp_Yes
34,0.0074729903136581234,AgeinYears
154,0.007295186066080548,SFxPalpDepress_92.0
75,0.007013243698068105,ClavNeck_1
27,0.006969797266357221,InjuryMech_ObjStruckHead
35,0.006784202122288197,AMSSlow_1
122,0.006731016683018402,Vomit_1.0
187,0.006598261276708014,NeuroDReflex_0
212,0.006498210666919432,VomitLast_nan
203,0.006344877491486999,VomitNbr_Not applicable
22,0.0062011927015202355,AMSOth_0
63,0.006192284151537683,HemaSize_Not applicable
77,0.006089569025380091,LocLen_5 sec - 1 min
59,0.005842372096617995,VomitStart_Within 1 hr of event
215,0.005720946789849243,AMSAgitated_1
65,0.005626806112958416,NeuroDOth_0
5,0.0055990778626505535,High_impact_InjSev_High
7,0.005503600258692984,Clav_1.0
91,0.005300906149205984,OSI_0.0
155,0.005225529196213241,InjuryMech_Sports
166,0.005224049322926722,ClavNeck_0
170,0.005179789095975511,LOCSeparate_Yes
110,0.005165994032213843,SFxBasHem_0
131,0.005009236472217737,OSIPelvis_0
103,0.004760272593488245,Vomit_0.0
66,0.004675042433782381,ClavOcc_0
132,0.004657537435082682,VomitStart_Not applicable
108,0.00461756080277988,SFxPalpDepress_0.0
123,0.004551263683253207,HemaLoc_Occipital
177,0.004491786560755103,OSIAbdomen_1
125,0.004475266495093225,AMSSleep_0
214,0.0043150382182685675,SFxPalpDepress_1.0
61,0.004255633658624806,HA_verb_nan
81,0.0041962567807452425,AMSAgitated_0
207,0.004135520076060158,NeuroDCranial_0
