,imp,feature
179,0.04238826157833568,SFxBasHem_1
210,0.03577516984425615,SFxBasPer_92
186,0.03506440883841372,SFxBasPer_0
114,0.03277153413759299,SFxBas_0.0
138,0.030620911224350546,SFxBasRhi_0
205,0.028826594932261584,SFxBasRet_0
162,0.028550822255406394,SFxBasOto_0
87,0.02821800255005176,SFxBasOto_92
90,0.025785272891742896,SFxBas_1.0
146,0.023492988029470134,SFxBasHem_92
153,0.021608592505090108,AMSOth_92
42,0.019364097756148568,SFxBasRhi_92
112,0.019079157029803066,AMSSleep_92
137,0.017741967175144032,AMSAgitated_92
142,0.0177172550328047,SFxPalp_Yes
192,0.01733668552478169,AMSSlow_92
88,0.01694684658056291,HemaLoc_Parietal/Temporal
23,0.01656844168150128,SFxPalp_No
198,0.016508276683054105,SFxBasRet_92
68,0.016372607753467053,AMS_1.0
154,0.01574534911075825,SFxPalpDepress_92.0
21,0.014163265127001777,AMSRepeat_92
214,0.014007215783844952,SFxPalpDepress_1.0
75,0.013263661397709996,ClavNeck_1
92,0.012407050431547884,VomitNbr_>2 times
69,0.01231582255724549,LOCSeparate_No
123,0.011713948341967706,HemaLoc_Occipital
136,0.01147966912670346,HAStart_nan
161,0.010066184507290769,HemaSize_Large
81,0.00960343401303194,AMSAgitated_0
140,0.009369001099444559,NeuroD_0.0
79,0.009129415829012945,AMS_0.0
125,0.008989882905482216,AMSSleep_0
215,0.008862271744622126,AMSAgitated_1
141,0.00861252928352612,NeuroDReflex_92
206,0.008536321861406494,ClavOcc_1
159,0.008479529042406979,AMSSlow_0
54,0.008385497823275434,AMSRepeat_0
5,0.008179201070344741,High_impact_InjSev_High
195,0.00801742203879576,Hema_0.0
84,0.008000605009936193,AgeInMonth
35,0.007588406588216266,AMSSlow_1
37,0.007449991919104928,ClavPar_1
151,0.006990532643508771,FontBulg_nan
176,0.006493124976115499,NeuroDSensory_1
98,0.0063502368077680725,LocLen_Not applicable
122,0.006315907565002099,Vomit_1.0
55,0.005897402324887367,NeuroDOth_92
200,0.0056635762072321065,HAStart_Within 1 hr of event
22,0.005439697077148547,AMSOth_0
99,0.00538943515968583,LOCSeparate_Suspected
166,0.005376344730538622,ClavNeck_0
61,0.005320517024112638,HA_verb_nan
18,0.004974744198718168,Sedated_1.0
157,0.004885989813738089,LocLen_1-5 min
213,0.004825917057066463,ClavFro_92
158,0.004805582596719646,AMSSleep_1
64,0.004795136105764134,SFxPalp_Unclear
2,0.004671187307626228,VomitLast_1-4 hrs before ED
101,0.004656218590554213,AMSRepeat_1
65,0.004545078143311575,NeuroDOth_0
187,0.004350331526193872,NeuroDReflex_0
0,0.0042888046978711404,ActNorm_0.0
70,0.004239188600090383,NeuroD_1.0
106,0.0040693765226741075,Hema_1.0
207,0.004002738926620151,NeuroDCranial_0
94,0.00394855167676254,SeizLen_>15 min
28,0.0039037826169505095,FontBulg_0.0
143,0.003856811318822281,ActNorm_1.0
77,0.003853016959580914,LocLen_5 sec - 1 min
209,0.0037817795231949868,NeuroDReflex_1
164,0.0037254072991407456,ClavTem_1
134,0.00370687515967617,SFxBasPer_1
