,imp,feature
138,0.04910805324751671,SFxBasRhi_0
87,0.04374254194037799,SFxBasOto_92
162,0.039610852688533066,SFxBasOto_0
205,0.038756450956019914,SFxBasRet_0
179,0.0336172027346177,SFxBasHem_1
112,0.03338198089201365,AMSSleep_92
198,0.02932409523933145,SFxBasRet_92
210,0.029243688957521382,SFxBasPer_92
192,0.02756511730438482,AMSSlow_92
137,0.025227134296615952,AMSAgitated_92
42,0.02459427618865707,SFxBasRhi_92
68,0.024123902794594244,AMS_1.0
21,0.02393756031378914,AMSRepeat_92
214,0.019953524700769026,SFxPalpDepress_1.0
146,0.019005011580444157,SFxBasHem_92
84,0.017928553630413704,AgeInMonth
215,0.01753669766049729,AMSAgitated_1
90,0.016907682501754007,SFxBas_1.0
142,0.01662614885180107,SFxPalp_Yes
186,0.01660329004383568,SFxBasPer_0
88,0.01655983862151448,HemaLoc_Parietal/Temporal
153,0.015623221586755269,AMSOth_92
159,0.013870475751729562,AMSSlow_0
20,0.013684935633097757,ClavFace_0
69,0.013517581937743953,LOCSeparate_No
154,0.013483983274759153,SFxPalpDepress_92.0
101,0.01279162367350659,AMSRepeat_1
22,0.011989771697225659,AMSOth_0
79,0.01072764748386286,AMS_0.0
37,0.010248705939785354,ClavPar_1
158,0.010032017250649084,AMSSleep_1
114,0.00961612582430904,SFxBas_0.0
23,0.008333700310090168,SFxPalp_No
76,0.008221216679957104,Drugs_1.0
132,0.008090983384322384,VomitStart_Not applicable
125,0.007747866197968123,AMSSleep_0
141,0.007636305971293154,NeuroDReflex_92
63,0.007570582324467282,HemaSize_Not applicable
203,0.007425308290212842,VomitNbr_Not applicable
94,0.007274516105793926,SeizLen_>15 min
81,0.007196669256308023,AMSAgitated_0
161,0.006711491566491395,HemaSize_Large
54,0.006682373487773861,AMSRepeat_0
75,0.006666238343106737,ClavNeck_1
34,0.006596123182427116,AgeinYears
207,0.0056669278054774265,NeuroDCranial_0
35,0.005456510928169979,AMSSlow_1
195,0.005416523097485011,Hema_0.0
199,0.005228088590105138,HA_verb_0.0
110,0.005154812841702624,SFxBasHem_0
5,0.0045929854903671834,High_impact_InjSev_High
166,0.004355700127094768,ClavNeck_0
10,0.004314913360334238,OSI_1.0
52,0.004193433664419096,OSIExtremity_1
135,0.004103757781355598,NeuroDSensory_92
108,0.004073386161824799,SFxPalpDepress_0.0
126,0.004059970396451825,Drugs_0.0
170,0.004028803736037052,LOCSeparate_Yes
127,0.004019578491331468,FontBulg_1.0
176,0.0038856696160809627,NeuroDSensory_1
103,0.0037866832813529296,Vomit_0.0
164,0.003690274006131356,ClavTem_1
216,0.0035691120367821105,OSIPelvis_92
131,0.0035531370622122614,OSIPelvis_0
121,0.0034540856732640924,Amnesia_verb_91.0
123,0.003300036039451555,HemaLoc_Occipital
143,0.0032884150177901095,ActNorm_1.0
44,0.0030877371142736783,ClavFace_1
28,0.003030635916379494,FontBulg_0.0
209,0.0028077493908917543,NeuroDReflex_1
24,0.0027325394374356137,OSIExtremity_92
31,0.002681265724571233,NeuroDMotor_92
59,0.002622016960176709,VomitStart_Within 1 hr of event
99,0.002492971836551333,LOCSeparate_Suspected
147,0.0024481105947675896,ClavOcc_92
213,0.002446052006686176,ClavFro_92
38,0.002286691035220473,HASeverity_Mild
122,0.002278215833659861,Vomit_1.0
13,0.0022759352295136153,Seiz_0.0
202,0.0022670801954726948,OSICut_1
70,0.002252347798762677,NeuroD_1.0
91,0.002245237802236473,OSI_0.0
111,0.002240659263975532,OSICspine_92
208,0.0022324475145834265,OSIOth_92
30,0.00221890050849041,HASeverity_Severe
58,0.0021430055883393216,OSIOth_0
49,0.0020927364676676967,OSIFlank_92
73,0.002068079415978547,InjuryMech_PedesMV
64,0.0020578619909319886,SFxPalp_Unclear
157,0.002021529961624934,LocLen_1-5 min
174,0.0020147315565501537,SeizLen_1-5 min
128,0.0018876561892751235,ClavFro_1
25,0.0018036625483684344,Amnesia_verb_0.0
27,0.0017938890023516834,InjuryMech_ObjStruckHead
189,0.0017229643046066234,NeuroDMotor_1
155,0.0016981292552990229,InjuryMech_Sports
106,0.0016846289859876065,Hema_1.0
117,0.0016717362644988432,ClavTem_0
67,0.0016385987281946773,OSIExtremity_0
7,0.0016319988096064459,Clav_1.0
182,0.0015853742254271692,ClavFace_92
77,0.0015710308561127217,LocLen_5 sec - 1 min
144,0.0015318351829544544,ClavPar_0
46,0.001472244317474259,NeuroDMotor_0
116,0.001459790177277688,VomitNbr_Twice
6,0.0014584010739110867,SeizOccur_Not applicable
32,0.0014484558768743778,Amnesia_verb_1.0
51,0.0014379229423702473,OSICspine_0
4,0.0012890531671454896,Clav_0.0
100,0.0012693867918079566,ClavTem_92
2,0.0012124177890212061,VomitLast_1-4 hrs before ED
97,0.0011924380185636544,ClavPar_92
206,0.0011877670972320058,ClavOcc_1
15,0.0010784062091976595,HemaLoc_Frontal
201,0.001037024310241154,HAStart_Not applicable
33,0.00102486802248044,InjuryMech_BikeMV
133,0.0010244691767488975,SeizLen_<1 min
168,0.001015965805802611,OSIAbdomen_92
3,0.0009794952731499579,High_impact_InjSev_Moderate
160,0.0009385670852565877,SeizOccur_Within 30 minutes of injury
124,0.0009078303762528337,InjuryMech_FallStair
113,0.000878577527690486,HASeverity_Moderate
148,0.0008739856052317221,InjuryMech_MVC
145,0.0008490415811011188,OSIFlank_0
134,0.0008485261683021893,SFxBasPer_1
66,0.0007519956509517581,ClavOcc_0
187,0.0007499317151769422,NeuroDReflex_0
72,0.0006975661716327936,AMSOth_1
180,0.0006632623357243677,NeuroDCranial_92
36,0.0006522545128682546,ClavFro_0
105,0.0006182004969191644,ClavNeck_92
172,0.0006018301282543141,InjuryMech_FallToGround
92,0.0005805521271206054,VomitNbr_>2 times
48,0.0005712701499865247,SeizOccur_>30 minutes after injury
11,0.0005283855229122275,ActNorm_nan
177,0.0005247571856503226,OSIAbdomen_1
139,0.0005093051854859502,AgeTwoPlus
74,0.0004916292360913625,HemaLoc_Not applicable
95,0.0004248066160609401,VomitNbr_Once
12,0.0003099081612308207,Sedated_0.0
9,0.0002102999536021252,OSIFlank_1
78,0.00019146896686573838,Seiz_1.0
50,0.0001881426143617717,High_impact_InjSev_Low
55,0.00018295728052101156,NeuroDOth_92
140,6.0291499551166325e-05,NeuroD_0.0
129,5.463109461356351e-05,OSIPelvis_1
200,0.0,HAStart_Within 1 hr of event
171,0.0,Amnesia_verb_nan
17,0.0,HemaSize_Small
173,0.0,InjuryMech_FallElev
193,0.0,InjuryMech_RanIntoStatObj
175,0.0,SFxPalp_nan
194,0.0,SFxBas_nan
212,0.0,VomitLast_nan
188,0.0,OSICut_92
16,0.0,SeizLen_5-15 min
14,0.0,OSI_nan
190,0.0,InjuryMech_OtherWheelCrash
185,0.0,HemaSize_Medium
196,0.0,HemaLoc_nan
211,0.0,InjuryMech_nan
178,0.0,VomitLast_>4 hrs before ED
184,0.0,Intubated_nan
197,0.0,Paralyzed_nan
181,0.0,SeizOccur_nan
204,0.0,NeuroDCranial_1
183,0.0,LocLen_>5 min
8,0.0,VomitStart_nan
191,0.0,Drugs_nan
62,0.0,HAStart_>4 hrs after event
169,0.0,Seiz_nan
86,0.0,Clav_nan
107,0.0,OSICut_0
104,0.0,VomitStart_1-4 hrs after event
47,0.0,SFxBasOto_1
102,0.0,SeizOccur_Immediately on contact
98,0.0,LocLen_Not applicable
96,0.0,Intubated_0.0
93,0.0,SeizLen_Not applicable
89,0.0,SeizLen_nan
53,0.0,Paralyzed_0.0
85,0.0,NeuroDSensory_0
109,0.0,SFxPalpDepress_nan
83,0.0,AMS_nan
82,0.0,OSICspine_1
56,0.0,HAStart_Before head injury
80,0.0,HA_verb_91.0
57,0.0,HemaSize_nan
71,0.0,InjuryMech_Assault
60,0.0,VomitStart_>4 hrs after event
61,0.0,HA_verb_nan
65,0.0,NeuroDOth_0
1,0.0,HAStart_1-4 hrs after event
45,0.0,VomitLast_<1 hr before ED
167,0.0,InjuryMech_Other
150,0.0,Sedated_nan
18,0.0,Sedated_1.0
165,0.0,HA_verb_1.0
19,0.0,OSIAbdomen_0
163,0.0,SFxBasRhi_1
26,0.0,SFxBasRet_1
156,0.0,Hema_nan
29,0.0,LocLen_<5 sec
152,0.0,OSIOth_1
151,0.0,FontBulg_nan
149,0.0,High_impact_InjSev_nan
115,0.0,InjuryMech_BikeCol
136,0.0,HAStart_nan
39,0.0,HASeverity_Not applicable
130,0.0,VomitStart_Before head injury
40,0.0,NeuroDOth_1
41,0.0,NeuroD_nan
43,0.0,VomitNbr_nan
120,0.0,Paralyzed_1.0
119,0.0,Intubated_1.0
118,0.0,Vomit_nan
0,0.0,ActNorm_0.0
