Predictor,Categories
AMSAgitated,AMSAgitated_0
AMSAgitated,AMSAgitated_1
AMSAgitated,AMSAgitated_92
AMSRepeat,AMSRepeat_0
AMSRepeat,AMSRepeat_1
AMSRepeat,AMSRepeat_92
AMSSleep,AMSSleep_0
AMSSleep,AMSSleep_1
AMSSleep,AMSSleep_92
ActNorm,ActNorm_0
ActNorm,ActNorm_1
ClavOcc,ClavOcc_0
ClavOcc,ClavOcc_1
ClavOcc,ClavOcc_92
HASeverity,HASeverity_1
HASeverity,HASeverity_2
HASeverity,HASeverity_3
HASeverity,HASeverity_92
HAStart,HAStart_1
HAStart,HAStart_2
HAStart,HAStart_3
HAStart,HAStart_4
HAStart,HAStart_92
HA_verb,HA_verb_0
HA_verb,HA_verb_1
HA_verb,HA_verb_91
HemaLoc,HemaLoc_1
HemaLoc,HemaLoc_2
HemaLoc,HemaLoc_3
HemaLoc,HemaLoc_92
HemaSize,HemaSize_1
HemaSize,HemaSize_2
HemaSize,HemaSize_3
HemaSize,HemaSize_92
High_impact_InjSev,High_impact_InjSev_1
High_impact_InjSev,High_impact_InjSev_2
High_impact_InjSev,High_impact_InjSev_3
LOCSeparate,LOCSeparate_0
LOCSeparate,LOCSeparate_1
LOCSeparate,LOCSeparate_2
SeizLen,SeizLen_1
SeizLen,SeizLen_2
SeizLen,SeizLen_3
SeizLen,SeizLen_4
SeizLen,SeizLen_92
SeizOccur,SeizOccur_1
SeizOccur,SeizOccur_2
SeizOccur,SeizOccur_3
SeizOccur,SeizOccur_92
VomitLast,VomitLast_1
VomitLast,VomitLast_2
VomitLast,VomitLast_3
VomitLast,VomitLast_92
VomitStart,VomitStart_1
VomitStart,VomitStart_2
VomitStart,VomitStart_3
VomitStart,VomitStart_4
VomitStart,VomitStart_92
