,variable,TPR,FPR
0,FocalNeuroFindings,0.0,0.0
1,HighriskDiving,0.4,0.0830564784053156
2,GCSbelowThreshold,0.45714285714285713,0.08637873754152825
3,PainNeck,0.5380952380952381,0.1129568106312292
4,SubInj_Head,0.8238095238095238,0.4418604651162791
5,axialloadtop,0.8809523809523809,0.5182724252491695
6,HEENT,0.8904761904761904,0.521594684385382
7,Cardiovascular,0.919047619047619,0.5581395348837209
8,LOC,0.9285714285714286,0.5647840531561461
9,Torticollis,0.9428571428571428,0.7740863787375415
10,NonAmbulatory,0.9476190476190476,0.7740863787375415
11,Musculoskeletal,0.9714285714285714,0.9401993355481728
12,PosMidNeckTenderness,0.9809523809523809,0.9401993355481728
13,helmet,0.9904761904761905,0.946843853820598
14,PassRestraint,0.9952380952380953,0.9501661129568106
15,TenderNeck,1.0,0.9634551495016611
16,SubInj_Face,1.0,0.9700996677740864
17,SubInj_Ext,1.0,0.9800664451827242
18,HighriskHitByCar,1.0,0.9833887043189369
19,HighriskMVC,1.0,0.9900332225913622
20,Assault,1.0,0.9933554817275747
21,AlteredMentalStatus,1.0,0.9966777408637874
22,SubInj_TorsoTrunk,1.0,0.9966777408637874
23,Predisposed,1.0,0.9966777408637874
24,HighriskFall,1.0,0.9966777408637874
25,HighriskHanging,1.0,0.9966777408637874
26,HighriskOtherMV,1.0,0.9966777408637874
27,AxialLoadAnyDoc,1.0,0.9966777408637874
28,Clotheslining,1.0,0.9966777408637874
29,ChildAbuse,1.0,0.9966777408637874
30,EMSArrival,1.0,0.9966777408637874
31,Respiratory,1.0,0.9966777408637874
32,Gastrointestinal,1.0,0.9966777408637874
33,Neurological,1.0,0.9966777408637874
34,Medications,1.0,0.9966777408637874
35,HighriskFallDownStairs,1.0,0.9966777408637874
36,GCSnot15,1.0,0.9966777408637874
