,variable,TPR,FPR
0,AlteredMentalStatus,0.0,0.0
1,PosMidNeckTenderness,0.7647058823529411,0.21052631578947367
2,Predisposed,0.8235294117647058,0.21052631578947367
3,AxialLoadAnyDoc,0.8823529411764706,0.22368421052631582
4,EMSArrival,0.8823529411764706,0.42105263157894735
5,HighriskFall,1.0,0.8552631578947368
6,HighriskMVC,1.0,0.881578947368421
7,Assault,1.0,0.8947368421052632
8,HEENT,1.0,0.9078947368421053
9,Respiratory,1.0,0.9210526315789473
10,Gastrointestinal,1.0,0.9342105263157895
11,LOC,1.0,0.9473684210526316
12,FocalNeuroFindings,1.0,0.9473684210526316
13,PainNeck,1.0,0.9473684210526316
14,TenderNeck,1.0,0.9473684210526316
15,Torticollis,1.0,0.9473684210526316
16,SubInj_Head,1.0,0.9473684210526316
17,SubInj_Face,1.0,0.9473684210526316
18,SubInj_Ext,1.0,0.9473684210526316
19,SubInj_TorsoTrunk,1.0,0.9473684210526316
20,HighriskDiving,1.0,0.9473684210526316
21,HighriskHanging,1.0,0.9473684210526316
22,HighriskHitByCar,1.0,0.9473684210526316
23,HighriskOtherMV,1.0,0.9473684210526316
24,axialloadtop,1.0,0.9473684210526316
25,Clotheslining,1.0,0.9473684210526316
26,PassRestraint,1.0,0.9473684210526316
27,ChildAbuse,1.0,0.9473684210526316
28,helmet,1.0,0.9473684210526316
29,Cardiovascular,1.0,0.9473684210526316
30,Musculoskeletal,1.0,0.9473684210526316
31,Neurological,1.0,0.9473684210526316
32,Medications,1.0,0.9473684210526316
33,HighriskFallDownStairs,1.0,0.9473684210526316
34,GCSnot15,1.0,0.9473684210526316
35,GCSbelowThreshold,1.0,0.9473684210526316
