,variable,TPR,FPR
0,FocalNeuroFindings,0.0,0.0
1,HighriskDiving,0.4,0.0830564784053156
2,GCSbelowThreshold,0.45714285714285713,0.08637873754152825
3,PainNeck,0.5380952380952381,0.1129568106312292
4,SubInj_Head,0.8238095238095238,0.4418604651162791
5,axialloadtop,0.8809523809523809,0.5182724252491695
6,HEENT,0.8904761904761904,0.521594684385382
7,TenderNeck,0.919047619047619,0.5581395348837209
8,HighriskMVC,0.9523809523809523,0.6411960132890365
9,Torticollis,0.9809523809523809,0.6976744186046512
10,NonAmbulatory,0.9857142857142858,0.7009966777408638
11,Musculoskeletal,0.9904761904761905,0.9501661129568106
12,helmet,0.9952380952380953,0.9501661129568106
13,AlteredMentalStatus,1.0,0.9568106312292359
14,LOC,1.0,0.9601328903654485
15,SubInj_Face,1.0,0.9700996677740864
16,SubInj_Ext,1.0,0.9800664451827242
17,HighriskHitByCar,1.0,0.9833887043189369
18,PassRestraint,1.0,0.9900332225913622
19,Assault,1.0,0.9933554817275747
20,PosMidNeckTenderness,1.0,0.9966777408637874
21,SubInj_TorsoTrunk,1.0,0.9966777408637874
22,Predisposed,1.0,0.9966777408637874
23,HighriskFall,1.0,0.9966777408637874
24,HighriskHanging,1.0,0.9966777408637874
25,HighriskOtherMV,1.0,0.9966777408637874
26,AxialLoadAnyDoc,1.0,0.9966777408637874
27,Clotheslining,1.0,0.9966777408637874
28,ChildAbuse,1.0,0.9966777408637874
29,EMSArrival,1.0,0.9966777408637874
30,Respiratory,1.0,0.9966777408637874
31,Neurological,1.0,0.9966777408637874
32,Medications,1.0,0.9966777408637874
33,HighriskFallDownStairs,1.0,0.9966777408637874
34,GCSnot15,1.0,0.9966777408637874
